model,provider,deployment,profile_id,repetition,rationale_high,autonomy_infringement,procedural_legitimacy,collective_responsibility,access_barriers,coercive_backlash
GPT-4.1,OpenAI,,P08,1,"The in-person registration, paperwork, and long wait time are significant barriers, especially with a young child and limited income. However, her flexible schedule and medium trust in public health make her somewhat likely to proceed, though the inconvenience lowers her willingness.",0,0,1,1,0
GPT-4.1,OpenAI,,P08,2,"She values her health and has a regular doctor, but the burdensome in-person registration, required documentation, long wait, and travel distance make the process inconvenient. Her medium trust in public health and flexible schedule increase willingness somewhat, but barriers lower it overall.",0,0,1,0,0
GPT-4.1,OpenAI,,P08,3,"She values her health and has some trust in public health, but the burdensome in-person registration, paperwork, travel, and long wait times are significant deterrents, especially with a young child and limited income.",0,0,1,1,0
GPT-4.1,OpenAI,,P08,4,"She values her health and has a regular doctor, but the burdensome in-person registration, required documentation, long wait, and travel distance make the process inconvenient. Her medium trust in public health and flexible schedule increase willingness somewhat, but barriers lower it overall.",0,0,1,0,0
GPT-4.1,OpenAI,,P08,5,"She values her health and has a regular doctor, but the burdensome in-person registration, paperwork, and long wait times are significant barriers, especially with a young child and limited income. Her medium trust in public health makes her somewhat willing, but the inconvenience lowers her enthusiasm.",0,0,1,1,0
GPT-4.1,OpenAI,,P09,1,"She values her health and has access to a regular doctor, but the in-person registration, paperwork, and long wait time are inconvenient, especially with a young child and low income. Her medium trust in public health and flexible schedule increase willingness, but barriers reduce it somewhat.",0,0,1,1,0
GPT-4.1,OpenAI,,P09,2,"She values her health and has access to a regular doctor, but the in-person registration, paperwork, and waiting time are inconvenient, especially with a young child and low income. Her medium trust in public health and flexible schedule make her somewhat willing, but the barriers reduce her enthusiasm.",0,0,1,1,0
GPT-4.1,OpenAI,,P09,3,"She values her health and has access to a regular doctor, but the in-person registration, paperwork, and waiting time are inconvenient, especially with a young child and low income. Her medium trust in public health and flexible schedule make her somewhat willing, but the barriers reduce her enthusiasm.",0,0,1,1,0
GPT-4.1,OpenAI,,P09,4,"She values her health and has access to a regular doctor, but the in-person registration, paperwork, and long wait time are significant barriers, especially with a young child and limited income. Her medium trust in public health also makes her somewhat hesitant.",0,0,1,1,0
GPT-4.1,OpenAI,,P09,5,"She values her health and has access to a regular doctor, but the in-person registration, paperwork, and waiting time are inconvenient, especially with a young child and low income. Her medium trust in public health and flexible schedule make her somewhat willing, but the barriers reduce her enthusiasm.",0,0,1,1,0
GPT-4.1,OpenAI,,P10,1,"The in-person registration, paperwork, and long wait time are significant barriers for someone with a full-time job and childcare responsibilities. While she has medium trust in public health, the logistical challenges and lack of a regular doctor make her less likely to proceed.",0,0,1,1,0
GPT-4.1,OpenAI,,P10,2,"The in-person registration, required documentation, and long wait times are significant barriers for someone with a full-time job and childcare responsibilities. While she has medium trust in public health, the logistical challenges make her less likely to proceed.",0,0,1,1,0
GPT-4.1,OpenAI,,P10,3,"The in-person registration, paperwork, and long wait times are significant barriers for someone with a full-time job and childcare responsibilities. While she has medium trust in public health, the logistical challenges and lack of a regular healthcare provider lower her willingness to proceed.",0,0,1,1,0
GPT-4.1,OpenAI,,P10,4,"The in-person registration, paperwork, and long wait times are significant barriers for someone with a demanding job and childcare responsibilities. While she has medium trust in public health, the logistical challenges make her less likely to proceed.",0,0,1,1,0
GPT-4.1,OpenAI,,P10,5,"The in-person registration, required documentation, and long wait times are significant barriers for someone with a full-time job and childcare responsibilities. While she has medium trust in public health, the logistical challenges make her less likely to proceed.",0,0,1,1,0
GPT-4.1,OpenAI,,P11,1,"The in-person registration, paperwork, and long wait time are significant barriers for someone with a demanding job, childcare responsibilities, and a distant clinic. While she has some trust in public health, the logistical challenges lower her willingness.",0,0,1,1,0
GPT-4.1,OpenAI,,P11,2,"The in-person registration, paperwork, and long wait time are significant barriers for someone with a demanding job, childcare responsibilities, and a distant clinic. Medium trust in public health and the need for documentation further reduce willingness, though some motivation remains due to having a young child and a regular doctor.",0,0,1,1,0
GPT-4.1,OpenAI,,P11,3,"The in-person registration, long wait times, and paperwork are significant barriers for someone with a full-time job and childcare responsibilities. While she has medium trust in public health and a regular doctor, the logistical challenges make her less likely to proceed.",0,0,1,1,0
GPT-4.1,OpenAI,,P11,4,"The in-person registration, paperwork, and long wait time are significant barriers for someone with a full-time job, childcare responsibilities, and a distant clinic. Medium trust in public health and the inconvenience lower her willingness, though she may still consider it for her health and her child's sake.",0,0,1,1,0
GPT-4.1,OpenAI,,P11,5,"The in-person registration, long wait times, and paperwork are significant barriers for someone with a full-time job and childcare responsibilities. While she has medium trust in public health and a regular doctor, the logistical challenges make her less likely to proceed.",0,0,1,1,0
GPT-4.1,OpenAI,,P12,1,"The in-person registration, paperwork, and long wait time are significant barriers for someone with a full-time job and childcare responsibilities. While she has medium trust in public health and access to a doctor, the inconvenience and time commitment lower her willingness.",0,0,1,1,0
GPT-4.1,OpenAI,,P12,2,"She values health and has access to a regular doctor, but the in-person registration, paperwork, and long wait are significant barriers given her job inflexibility and childcare responsibilities. Her medium trust in public health also makes her less likely to overcome these hurdles.",0,0,1,1,0
GPT-4.1,OpenAI,,P12,3,"She values her health and has access to a regular doctor, but the in-person registration, paperwork, and long wait times are significant barriers given her work schedule and childcare responsibilities. Her medium trust in public health authorities means she is not highly motivated to overcome these obstacles.",0,0,1,1,0
GPT-4.1,OpenAI,,P12,4,"The in-person registration, paperwork, and long wait time are significant barriers for someone with a full-time job and childcare responsibilities. While she has medium trust in public health and access to a doctor, the inconvenience and time commitment lower her willingness.",0,0,1,1,0
GPT-4.1,OpenAI,,P12,5,"The in-person registration, paperwork, and long wait time are significant barriers for someone with a full-time job and childcare responsibilities. While she has some trust in public health and access to a doctor, the inconvenience and time commitment lower her willingness.",0,0,1,1,0
GPT-4.1,OpenAI,,P13,1,"The in-person registration, paperwork, and waiting time are significant barriers, especially with a young child and no regular healthcare provider. However, her flexible work hours and moderate trust in public health make her somewhat likely to proceed, though the process may deter her.",0,0,1,1,0
GPT-4.1,OpenAI,,P13,2,"The in-person registration, paperwork, and long wait time are significant barriers, especially with a young child and no regular doctor. However, her flexible work hours and medium trust in public health make her somewhat likely to proceed, though the process may discourage her.",0,0,1,1,0
GPT-4.1,OpenAI,,P13,3,"The in-person registration, paperwork, and long wait time are significant barriers, especially with a young child and no regular healthcare provider. However, her flexible work hours and moderate trust in public health make her somewhat likely to proceed, though not highly motivated.",0,0,1,1,0
GPT-4.1,OpenAI,,P13,4,"The in-person registration, paperwork, and waiting time are significant barriers, especially with a young child and no regular healthcare provider. However, her flexible work hours and moderate trust in public health make her somewhat likely to proceed, though the process may deter her.",0,0,1,1,0
GPT-4.1,OpenAI,,P13,5,"The in-person registration, paperwork, and waiting time are significant barriers, especially with a young child and no regular healthcare provider. However, her flexible work hours and moderate trust in public health make her somewhat likely to proceed, though the process may deter her.",0,0,1,1,0
GPT-4.1,OpenAI,,P14,1,"The in-person registration, paperwork, and long wait time are significant barriers, especially with a young child and a distant clinic. Her medium trust in public health and flexible work hours make her somewhat willing, but the inconvenience lowers her overall willingness.",0,0,1,0,0
GPT-4.1,OpenAI,,P14,2,"The in-person registration, paperwork, and long wait times are significant barriers, especially with a young child and a distant clinic. Her medium trust in public health and flexible work hours help, but the inconvenience lowers her willingness.",0,0,1,0,0
GPT-4.1,OpenAI,,P14,3,"The process is inconvenient due to the need to travel, bring documents, and wait for a long time, which is challenging with a young child and part-time work. However, her medium trust in public health and access to a regular doctor means she is still somewhat likely to proceed, though the barriers lower her willingness.",0,0,1,0,0
GPT-4.1,OpenAI,,P14,4,"The process is inconvenient due to the need to travel, bring documents, and wait for a long time, which is challenging with a young child and part-time work. However, her medium trust in public health and access to a regular doctor mean she is still somewhat likely to proceed.",0,0,1,0,0
GPT-4.1,OpenAI,,P14,5,"The process is inconvenient due to the need to travel, bring documents, and wait for a long time, which is challenging with a young child and part-time work. However, her medium trust in public health and access to a regular doctor mean she is still somewhat likely to proceed, though the barriers lower her willingness.",0,0,1,0,0
GPT-4.1,OpenAI,,P15,1,"She values health and has access to a regular doctor, but the in-person registration, paperwork, and waiting time are inconvenient, especially with a young child and part-time work. Her medium trust in public health and the logistical barriers lower her willingness somewhat, but she is still likely to proceed.",0,0,1,0,0
GPT-4.1,OpenAI,,P15,2,"She values health and has access to a regular doctor, but the in-person registration, paperwork, and long wait time are inconvenient, especially with a young child and part-time work. Her medium trust in public health and moderate barriers reduce, but do not eliminate, her willingness.",0,0,1,0,0
GPT-4.1,OpenAI,,P15,3,"She values health and has access to a regular doctor, but the in-person registration, paperwork, and long wait time are inconvenient, especially with a young child and part-time work. Her medium trust in authorities means she is likely to proceed, but the barriers reduce her enthusiasm.",0,0,0,0,0
GPT-4.1,OpenAI,,P15,4,"She values health and has access to a regular doctor, but the in-person registration, paperwork, and long wait time are inconvenient, especially with a young child and part-time work. Her medium trust in public health and moderate barriers reduce, but do not eliminate, her willingness.",0,0,1,0,0
GPT-4.1,OpenAI,,P15,5,"She values health and has access to a regular doctor, but the in-person registration, paperwork, and waiting time are inconvenient, especially with a young child and part-time work. Her medium trust in public health and the administrative burden lower her willingness, but she is still likely to proceed.",0,0,1,0,0
GPT-4.1,OpenAI,,P16,1,"She is likely motivated to get vaccinated for her own and her child's health, but the in-person registration, paperwork, and waiting time are inconvenient, especially without a regular doctor. Her medium trust in public health and flexible schedule make her somewhat willing, but the barriers lower her enthusiasm.",0,0,1,0,0
GPT-4.1,OpenAI,,P16,2,"She values her health and her child's, but the in-person registration, paperwork, and long wait are inconvenient, especially without a regular doctor. Her flexible schedule helps, but the barriers may reduce her enthusiasm.",0,0,0,0,0
GPT-4.1,OpenAI,,P16,3,"She is moderately willing due to medium trust in public health and flexible work schedule, but the in-person registration, paperwork, and long wait time are significant inconveniences, especially as a parent without a regular doctor.",0,0,1,0,0
GPT-4.1,OpenAI,,P16,4,"She is likely motivated to get vaccinated for her own and her child's health, but the in-person registration, paperwork, and long wait times are inconvenient, especially without a regular doctor. Her medium trust in public health and flexible schedule make her somewhat willing, but the barriers lower her enthusiasm.",0,0,1,0,0
GPT-4.1,OpenAI,,P16,5,"She values her health and her child's, but the in-person registration, paperwork, and long wait are inconvenient, especially without a regular doctor. Her medium trust in public health and flexible schedule make her somewhat willing, but the barriers lower her enthusiasm.",0,0,1,0,0
GPT-4.1,OpenAI,,P17,1,"She values her health and has a regular doctor, but the inconvenient registration process, travel distance, and need to arrange childcare make it less appealing. Her medium trust in public health and flexible schedule increase willingness somewhat, but the barriers lower it overall.",0,0,1,1,0
GPT-4.1,OpenAI,,P17,2,"She values her health and has a child to protect, but the inconvenient registration process, travel distance, and paperwork are significant barriers. Her medium trust in public health and flexible schedule increase willingness somewhat, but the hassle lowers it.",0,0,1,0,0
GPT-4.1,OpenAI,,P17,3,"She values her health and has a child to protect, but the inconvenient registration process, travel distance, and paperwork are significant barriers. Her medium trust in public health and flexible schedule increase willingness somewhat, but the hassle lowers it.",0,0,1,0,0
GPT-4.1,OpenAI,,P17,4,"She values her health and has a child to protect, but the inconvenient registration process, travel distance, and paperwork are significant barriers. Her medium trust in public health and flexible schedule increase willingness somewhat, but the hassle lowers it.",0,0,1,0,0
GPT-4.1,OpenAI,,P17,5,"She values her health and has a child to protect, but the inconvenient registration process, travel distance, and paperwork are significant barriers. Her medium trust in public health and flexible schedule increase willingness somewhat, but the hassle lowers it.",0,0,1,0,0
GPT-4.1,OpenAI,,P18,1,"She values her health and has access to a regular doctor, but the in-person registration, paperwork, and waiting time are inconvenient, especially with a young child and self-employment responsibilities. Her medium trust in public health and manageable barriers make her somewhat willing, but not highly motivated.",0,0,1,0,0
GPT-4.1,OpenAI,,P18,2,"She values her health and has access to a regular doctor, but the in-person registration, paperwork, and waiting time are inconvenient, especially with a young child. Her medium trust in public health and flexible schedule make her somewhat willing, but the barriers lower her enthusiasm.",0,0,1,0,0
GPT-4.1,OpenAI,,P18,3,"She values her health and has access to a regular doctor, but the in-person registration, paperwork, and waiting time are inconvenient, especially with a young child and self-employment responsibilities. Her medium trust in public health and manageable barriers make her somewhat willing, but not highly motivated.",0,0,1,0,0
GPT-4.1,OpenAI,,P18,4,"She values her health and has access to a regular doctor, but the in-person registration, paperwork, and long wait time are inconvenient, especially with a young child and self-employment responsibilities. Her medium trust in public health also makes her less motivated to overcome these barriers.",0,0,1,0,0
GPT-4.1,OpenAI,,P18,5,"She values her health and has access to a regular doctor, but the in-person registration, paperwork, and waiting time are inconvenient, especially with a young child and self-employment responsibilities. Her medium trust in public health and manageable barriers keep her willingness moderately high, but not maximal.",0,0,1,0,0
GPT-4.1,OpenAI,,P19,1,"The in-person registration, paperwork, and long wait times are significant barriers for someone with a demanding job and childcare responsibilities. While she has moderate trust in public health, the logistical challenges make her less likely to proceed.",0,0,1,1,0
GPT-4.1,OpenAI,,P19,2,"The in-person registration, paperwork, and long wait times are significant barriers for someone with a full-time job and childcare responsibilities. While she has medium trust in public health and likely sees value in vaccination, the logistical challenges make her less willing to proceed.",0,0,1,1,0
GPT-4.1,OpenAI,,P19,3,"The in-person registration, paperwork, and long wait time are significant barriers for someone with a full-time job and childcare responsibilities. Medium trust in public health and lack of a regular doctor further reduce motivation, though she may still consider vaccination important.",0,0,1,1,0
GPT-4.1,OpenAI,,P19,4,"The in-person registration, paperwork, and long wait times are significant barriers for someone with a full-time job and childcare responsibilities. While she has medium trust in public health and likely sees some value in vaccination, the logistical challenges make her less willing to proceed.",0,0,1,1,0
GPT-4.1,OpenAI,,P19,5,"The in-person registration, paperwork, and long wait time are significant barriers for someone with a full-time job and childcare responsibilities. Medium trust in public health and lack of a regular doctor further reduce motivation, though she may still consider vaccination important.",0,0,1,1,0
GPT-4.1,OpenAI,,P20,1,"The in-person registration, long wait times, and paperwork are significant barriers for someone with a busy work schedule and childcare responsibilities. While she has some trust in public health and a regular doctor, the inconvenience and logistical challenges lower her willingness.",0,0,1,1,0
GPT-4.1,OpenAI,,P20,2,"The in-person registration, long wait times, and paperwork are significant barriers for someone with a busy work schedule and childcare responsibilities. While she has some trust in public health and a regular doctor, the inconvenience and logistical challenges lower her willingness.",0,0,1,1,0
GPT-4.1,OpenAI,,P20,3,"The process is inconvenient due to work constraints, travel distance, and paperwork, which may discourage her. However, her moderate trust in public health and having a young child may motivate her to proceed despite the barriers.",0,0,1,0,0
GPT-4.1,OpenAI,,P20,4,"The in-person registration, long wait times, and paperwork are significant barriers for someone with a busy work schedule and childcare responsibilities. While she has medium trust in public health and a regular doctor, the inconvenience and time commitment lower her willingness.",0,0,1,1,0
GPT-4.1,OpenAI,,P20,5,"The in-person registration, long wait times, and paperwork are significant barriers for someone with a demanding job and childcare responsibilities. While she has some trust in public health and a regular doctor, the inconvenience and time commitment lower her willingness.",0,0,1,1,0
GPT-4.1,OpenAI,,P21,1,"She values health and has access to a regular doctor, but the in-person registration, paperwork, and long wait are significant barriers given her job constraints and childcare responsibilities. Her medium trust in public health also makes her less motivated to overcome these hurdles.",0,0,1,1,0
GPT-4.1,OpenAI,,P21,2,"She values health and has access to a regular doctor, but the in-person registration, paperwork, and long wait are significant barriers given her job constraints and childcare responsibilities. Her medium trust in public health also makes her less motivated to overcome these hurdles.",0,0,1,1,0
GPT-4.1,OpenAI,,P21,3,"She values health and has access to a regular doctor, but the in-person registration, paperwork, and long wait are significant barriers given her job constraints and childcare responsibilities. Her medium trust in public health makes her somewhat willing, but the inconvenience lowers her enthusiasm.",0,0,1,1,0
GPT-4.1,OpenAI,,P21,4,"The process is inconvenient due to in-person registration, paperwork, and long wait times, which is challenging given her full-time job and childcare responsibilities. However, her access to a regular doctor and moderate trust in public health keep her somewhat motivated to proceed.",0,0,1,1,0
GPT-4.1,OpenAI,,P21,5,"She values health and has access to a regular doctor, but the in-person, time-consuming registration process is a significant barrier due to her job and childcare responsibilities. Her medium trust in public health and the bureaucratic hurdles lower her willingness, though she is not completely deterred.",0,0,1,1,0
GPT-4.1,OpenAI,,P22,1,"The process is inconvenient due to in-person registration, paperwork, and long wait times, which may be challenging with a young child and no regular doctor. However, her flexible work hours and moderate trust in public health make her somewhat likely to proceed despite the barriers.",0,0,1,1,0
GPT-4.1,OpenAI,,P22,2,"The process is inconvenient due to in-person registration, paperwork, and long wait times, which may be challenging with a young child and part-time work. However, her medium trust in public health and flexible hours make her somewhat likely to proceed despite the barriers.",0,0,1,0,0
GPT-4.1,OpenAI,,P22,3,"She is likely motivated to get vaccinated for her own and her child's health, but the in-person registration, paperwork, and waiting time are inconvenient, especially without a regular doctor and with childcare needs. Her medium trust in public health and flexible work hours make her somewhat willing, but the barriers lower her enthusiasm.",0,0,1,1,0
GPT-4.1,OpenAI,,P22,4,"She values health for herself and her child, but the in-person registration, paperwork, and long wait are inconvenient, especially without a regular doctor and with childcare needs. Her medium trust in authorities means she is somewhat motivated, but the barriers lower her willingness.",0,0,0,1,0
GPT-4.1,OpenAI,,P22,5,"She is moderately willing due to her flexible work hours and concern for her child's health, but the lack of a regular doctor, the paperwork, and the long wait time make the process inconvenient and may reduce her motivation.",0,0,0,0,0
GPT-4.1,OpenAI,,P23,1,"The process is inconvenient due to the need for in-person registration, paperwork, and long wait times, which is challenging with a young child and a distant clinic. However, her flexible work hours and moderate trust in public health make her somewhat likely to proceed despite the barriers.",0,0,1,0,0
GPT-4.1,OpenAI,,P23,2,"The process is inconvenient due to the need for in-person registration, paperwork, and long wait times, which is challenging with a young child and a distant clinic. However, her flexible work hours and moderate trust in public health make her somewhat likely to proceed, though not highly motivated.",0,0,1,0,0
GPT-4.1,OpenAI,,P23,3,"She values health and has a regular doctor, but the in-person registration, paperwork, and long wait times are inconvenient, especially with a young child and a distant clinic. Her medium trust in public health and flexible work hours make her somewhat willing, but the barriers lower her enthusiasm.",0,0,1,0,0
GPT-4.1,OpenAI,,P23,4,"The process is inconvenient due to travel, paperwork, and long wait times, especially with a young child and a distant clinic. However, her flexible work hours and moderate trust in public health make her somewhat likely to proceed despite the barriers.",0,0,1,0,0
GPT-4.1,OpenAI,,P23,5,"The process is inconvenient due to the need for in-person registration, paperwork, and long wait times, especially with a young child and a distant clinic. However, her flexible work hours and medium trust in public health make her somewhat likely to proceed despite the barriers.",0,0,1,0,0
GPT-4.1,OpenAI,,P24,1,"She values health and has access to a regular doctor, but the in-person registration, paperwork, and waiting time are inconvenient, especially with a young child and part-time work. Her medium trust in public health may make her less motivated to overcome these barriers, but she is still likely to proceed.",0,0,1,0,0
GPT-4.1,OpenAI,,P24,2,"She values health and has access to a regular doctor, but the in-person registration, paperwork, and waiting time are inconvenient, especially with a young child and part-time work. Her medium trust in public health may make her less motivated to overcome these barriers, but she is still likely to proceed.",0,0,1,0,0
GPT-4.1,OpenAI,,P24,3,"She values health and has access to a regular doctor, but the in-person registration, paperwork, and waiting time are inconvenient, especially with a young child and part-time work. Her medium trust in authorities may also make her less motivated to overcome these barriers.",0,0,0,0,0
GPT-4.1,OpenAI,,P24,4,"She values health and has access to a regular doctor, but the in-person registration, paperwork, and waiting time are inconvenient, especially with a young child and part-time work. Her medium trust in authorities means she is likely to proceed, but the barriers reduce her enthusiasm.",0,0,0,0,0
GPT-4.1,OpenAI,,P24,5,"She values health and has access to a regular doctor, but the in-person registration, paperwork, and waiting time are inconvenient, especially with a young child and part-time work. Her medium trust in public health and the administrative burden lower her willingness somewhat, but she is still likely to proceed.",0,0,1,0,0
GPT-4.1,OpenAI,,P25,1,"She values her health and has a flexible schedule, but the in-person registration, paperwork, and waiting time are inconvenient, especially with a young child and no regular healthcare provider. Her medium trust in public health also makes her somewhat hesitant.",0,0,1,1,0
GPT-4.1,OpenAI,,P25,2,"She values her health and has a flexible schedule, but the in-person registration, paperwork, and waiting time are inconvenient, especially with a young child and no regular healthcare provider. Her medium trust in public health authorities also makes her somewhat hesitant.",0,0,1,1,0
GPT-4.1,OpenAI,,P25,3,"She values her health and has a flexible schedule, but the in-person registration, paperwork, and waiting time are inconvenient, especially with a young child and no regular healthcare provider. Her medium trust in public health authorities also makes her somewhat hesitant.",0,0,1,1,0
