model,provider,deployment,api_model,item_order,item_id,dimension,reverse_coded,coding_direction,item_text,raw_score,score_valid,score_recoded
DeepSeek-V3.2,DeepSeek,official_api,deepseek-chat,10,CO4,CO,1,"Negative, R",Individual convenience should not be sacrificed for collective benefits.,2,1,
DeepSeek-V3.2,DeepSeek,official_api,deepseek-chat,11,AP2,AP,1,"Negative, R",It is acceptable for public programs to limit individual discretion when doing so improves administrative efficiency.,5,1,
DeepSeek-V3.2,DeepSeek,official_api,deepseek-chat,12,ST1,ST,0,Positive,Public health agencies can generally be trusted to make decisions that protect the well-being of the population.,5,1,
DeepSeek-V3.2,DeepSeek,official_api,deepseek-chat,13,BS3,BS,0,Positive,Even small procedural barriers can deter eligible individuals from receiving public benefits.,6,1,
DeepSeek-V3.2,DeepSeek,official_api,deepseek-chat,14,CA4,CA,1,"Negative, R",Coercive policy tools are sometimes necessary to protect public health.,5,1,
DeepSeek-V3.2,DeepSeek,official_api,deepseek-chat,15,CO2,CO,1,"Negative, R",Individuals should not be expected to tolerate inconvenience for the sake of public health goals.,2,1,
DeepSeek-V3.2,DeepSeek,official_api,deepseek-chat,16,AP3,AP,0,Positive,Policies that reduce personal choice raise ethical concerns even when they improve program performance.,4,1,
DeepSeek-V3.2,DeepSeek,official_api,deepseek-chat,17,ST2,ST,1,"Negative, R",Government administrative requirements are often arbitrary obstacles that discourage people from accessing services.,3,1,
DeepSeek-V3.2,DeepSeek,official_api,deepseek-chat,18,BS4,BS,1,"Negative, R",The inconvenience of administrative procedures is usually exaggerated.,3,1,
DeepSeek-V3.2,DeepSeek,official_api,deepseek-chat,19,CO3,CO,0,Positive,People should be willing to accept some procedural burden if it helps protect vulnerable groups.,6,1,
DeepSeek-V3.2,DeepSeek,official_api,deepseek-chat,20,CA1,CA,0,Positive,Fines or penalties are likely to increase resentment when used to encourage health behavior.,5,1,
GPT-4.1,OpenAI,official_api,gpt-4.1,1,AP1,AP,0,Positive,Public programs should preserve meaningful individual choice whenever possible.,7,1,
GPT-4.1,OpenAI,official_api,gpt-4.1,2,BS2,BS,1,"Negative, R",Most people can easily navigate government paperwork without major difficulty.,2,1,
GPT-4.1,OpenAI,official_api,gpt-4.1,3,ST3,ST,0,Positive,Public agencies generally have legitimate reasons for requiring procedures in public programs.,6,1,
GPT-4.1,OpenAI,official_api,gpt-4.1,4,CA2,CA,1,"Negative, R","When voluntary measures are insufficient, it is legitimate for the government to impose penalties to achieve public health goals.",6,1,
GPT-4.1,OpenAI,official_api,gpt-4.1,5,CO1,CO,0,Positive,"When public health is at stake, individuals have a civic duty to comply with reasonable administrative procedures.",7,1,
GPT-4.1,OpenAI,official_api,gpt-4.1,6,AP4,AP,1,"Negative, R",Individual privacy concerns should sometimes yield to legitimate public administrative needs.,5,1,
GPT-4.1,OpenAI,official_api,gpt-4.1,7,BS1,BS,0,Positive,"Forms, waiting times, and documentation requirements can significantly reduce access to public services.",6,1,
GPT-4.1,OpenAI,official_api,gpt-4.1,8,ST4,ST,1,"Negative, R",Bureaucratic procedures are more about protecting agency convenience than serving citizens.,3,1,
GPT-4.1,OpenAI,official_api,gpt-4.1,9,CA3,CA,0,Positive,Mandates and enforcement mechanisms tend to backfire by undermining trust and motivation.,4,1,
GPT-4.1,OpenAI,official_api,gpt-4.1,10,CO4,CO,1,"Negative, R",Individual convenience should not be sacrificed for collective benefits.,3,1,
GPT-4.1,OpenAI,official_api,gpt-4.1,11,AP2,AP,1,"Negative, R",It is acceptable for public programs to limit individual discretion when doing so improves administrative efficiency.,5,1,
GPT-4.1,OpenAI,official_api,gpt-4.1,12,ST1,ST,0,Positive,Public health agencies can generally be trusted to make decisions that protect the well-being of the population.,6,1,
GPT-4.1,OpenAI,official_api,gpt-4.1,13,BS3,BS,0,Positive,Even small procedural barriers can deter eligible individuals from receiving public benefits.,6,1,
GPT-4.1,OpenAI,official_api,gpt-4.1,14,CA4,CA,1,"Negative, R",Coercive policy tools are sometimes necessary to protect public health.,6,1,
GPT-4.1,OpenAI,official_api,gpt-4.1,15,CO2,CO,1,"Negative, R",Individuals should not be expected to tolerate inconvenience for the sake of public health goals.,2,1,
GPT-4.1,OpenAI,official_api,gpt-4.1,16,AP3,AP,0,Positive,Policies that reduce personal choice raise ethical concerns even when they improve program performance.,5,1,
GPT-4.1,OpenAI,official_api,gpt-4.1,17,ST2,ST,1,"Negative, R",Government administrative requirements are often arbitrary obstacles that discourage people from accessing services.,4,1,
GPT-4.1,OpenAI,official_api,gpt-4.1,18,BS4,BS,1,"Negative, R",The inconvenience of administrative procedures is usually exaggerated.,2,1,
GPT-4.1,OpenAI,official_api,gpt-4.1,19,CO3,CO,0,Positive,People should be willing to accept some procedural burden if it helps protect vulnerable groups.,7,1,
GPT-4.1,OpenAI,official_api,gpt-4.1,20,CA1,CA,0,Positive,Fines or penalties are likely to increase resentment when used to encourage health behavior.,6,1,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,1,AP1,AP,0,Positive,Public programs should preserve meaningful individual choice whenever possible.,7,1,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,2,BS2,BS,1,"Negative, R",Most people can easily navigate government paperwork without major difficulty.,2,1,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,3,ST3,ST,0,Positive,Public agencies generally have legitimate reasons for requiring procedures in public programs.,6,1,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,4,CA2,CA,1,"Negative, R","When voluntary measures are insufficient, it is legitimate for the government to impose penalties to achieve public health goals.",5,1,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,5,CO1,CO,0,Positive,"When public health is at stake, individuals have a civic duty to comply with reasonable administrative procedures.",6,1,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,6,AP4,AP,1,"Negative, R",Individual privacy concerns should sometimes yield to legitimate public administrative needs.,5,1,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,7,BS1,BS,0,Positive,"Forms, waiting times, and documentation requirements can significantly reduce access to public services.",7,1,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,8,ST4,ST,1,"Negative, R",Bureaucratic procedures are more about protecting agency convenience than serving citizens.,3,1,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,9,CA3,CA,0,Positive,Mandates and enforcement mechanisms tend to backfire by undermining trust and motivation.,4,1,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,10,CO4,CO,1,"Negative, R",Individual convenience should not be sacrificed for collective benefits.,3,1,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,11,AP2,AP,1,"Negative, R",It is acceptable for public programs to limit individual discretion when doing so improves administrative efficiency.,6,1,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,12,ST1,ST,0,Positive,Public health agencies can generally be trusted to make decisions that protect the well-being of the population.,6,1,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,13,BS3,BS,0,Positive,Even small procedural barriers can deter eligible individuals from receiving public benefits.,7,1,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,14,CA4,CA,1,"Negative, R",Coercive policy tools are sometimes necessary to protect public health.,6,1,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,15,CO2,CO,1,"Negative, R",Individuals should not be expected to tolerate inconvenience for the sake of public health goals.,2,1,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,16,AP3,AP,0,Positive,Policies that reduce personal choice raise ethical concerns even when they improve program performance.,5,1,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,17,ST2,ST,1,"Negative, R",Government administrative requirements are often arbitrary obstacles that discourage people from accessing services.,3,1,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,18,BS4,BS,1,"Negative, R",The inconvenience of administrative procedures is usually exaggerated.,2,1,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,19,CO3,CO,0,Positive,People should be willing to accept some procedural burden if it helps protect vulnerable groups.,6,1,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,20,CA1,CA,0,Positive,Fines or penalties are likely to increase resentment when used to encourage health behavior.,5,1,
GPT-4o,OpenAI,official_api,gpt-4o,1,AP1,AP,0,Positive,Public programs should preserve meaningful individual choice whenever possible.,6,1,
GPT-4o,OpenAI,official_api,gpt-4o,2,BS2,BS,1,"Negative, R",Most people can easily navigate government paperwork without major difficulty.,3,1,
GPT-4o,OpenAI,official_api,gpt-4o,3,ST3,ST,0,Positive,Public agencies generally have legitimate reasons for requiring procedures in public programs.,6,1,
GPT-4o,OpenAI,official_api,gpt-4o,4,CA2,CA,1,"Negative, R","When voluntary measures are insufficient, it is legitimate for the government to impose penalties to achieve public health goals.",7,1,
GPT-4o,OpenAI,official_api,gpt-4o,5,CO1,CO,0,Positive,"When public health is at stake, individuals have a civic duty to comply with reasonable administrative procedures.",6,1,
GPT-4o,OpenAI,official_api,gpt-4o,6,AP4,AP,1,"Negative, R",Individual privacy concerns should sometimes yield to legitimate public administrative needs.,5,1,
GPT-4o,OpenAI,official_api,gpt-4o,7,BS1,BS,0,Positive,"Forms, waiting times, and documentation requirements can significantly reduce access to public services.",6,1,
GPT-4o,OpenAI,official_api,gpt-4o,8,ST4,ST,1,"Negative, R",Bureaucratic procedures are more about protecting agency convenience than serving citizens.,3,1,
GPT-4o,OpenAI,official_api,gpt-4o,9,CA3,CA,0,Positive,Mandates and enforcement mechanisms tend to backfire by undermining trust and motivation.,4,1,
GPT-4o,OpenAI,official_api,gpt-4o,10,CO4,CO,1,"Negative, R",Individual convenience should not be sacrificed for collective benefits.,3,1,
GPT-4o,OpenAI,official_api,gpt-4o,11,AP2,AP,1,"Negative, R",It is acceptable for public programs to limit individual discretion when doing so improves administrative efficiency.,5,1,
GPT-4o,OpenAI,official_api,gpt-4o,12,ST1,ST,0,Positive,Public health agencies can generally be trusted to make decisions that protect the well-being of the population.,6,1,
GPT-4o,OpenAI,official_api,gpt-4o,13,BS3,BS,0,Positive,Even small procedural barriers can deter eligible individuals from receiving public benefits.,6,1,
GPT-4o,OpenAI,official_api,gpt-4o,14,CA4,CA,1,"Negative, R",Coercive policy tools are sometimes necessary to protect public health.,6,1,
GPT-4o,OpenAI,official_api,gpt-4o,15,CO2,CO,1,"Negative, R",Individuals should not be expected to tolerate inconvenience for the sake of public health goals.,3,1,
GPT-4o,OpenAI,official_api,gpt-4o,16,AP3,AP,0,Positive,Policies that reduce personal choice raise ethical concerns even when they improve program performance.,5,1,
GPT-4o,OpenAI,official_api,gpt-4o,17,ST2,ST,1,"Negative, R",Government administrative requirements are often arbitrary obstacles that discourage people from accessing services.,4,1,
GPT-4o,OpenAI,official_api,gpt-4o,18,BS4,BS,1,"Negative, R",The inconvenience of administrative procedures is usually exaggerated.,2,1,
GPT-4o,OpenAI,official_api,gpt-4o,19,CO3,CO,0,Positive,People should be willing to accept some procedural burden if it helps protect vulnerable groups.,6,1,
GPT-4o,OpenAI,official_api,gpt-4o,20,CA1,CA,0,Positive,Fines or penalties are likely to increase resentment when used to encourage health behavior.,5,1,
Gemini 2.5 Flash,Google,official_api,gemini-2.5-flash,1,AP1,AP,0,Positive,Public programs should preserve meaningful individual choice whenever possible.,6,1,
Gemini 2.5 Flash,Google,official_api,gemini-2.5-flash,2,BS2,BS,1,"Negative, R",Most people can easily navigate government paperwork without major difficulty.,2,1,
Gemini 2.5 Flash,Google,official_api,gemini-2.5-flash,3,ST3,ST,0,Positive,Public agencies generally have legitimate reasons for requiring procedures in public programs.,5,1,
Gemini 2.5 Flash,Google,official_api,gemini-2.5-flash,4,CA2,CA,1,"Negative, R","When voluntary measures are insufficient, it is legitimate for the government to impose penalties to achieve public health goals.",6,1,
Gemini 2.5 Flash,Google,official_api,gemini-2.5-flash,5,CO1,CO,0,Positive,"When public health is at stake, individuals have a civic duty to comply with reasonable administrative procedures.",6,1,
Gemini 2.5 Flash,Google,official_api,gemini-2.5-flash,6,AP4,AP,1,"Negative, R",Individual privacy concerns should sometimes yield to legitimate public administrative needs.,5,1,
Gemini 2.5 Flash,Google,official_api,gemini-2.5-flash,7,BS1,BS,0,Positive,"Forms, waiting times, and documentation requirements can significantly reduce access to public services.",7,1,
Gemini 2.5 Flash,Google,official_api,gemini-2.5-flash,8,ST4,ST,1,"Negative, R",Bureaucratic procedures are more about protecting agency convenience than serving citizens.,3,1,
Gemini 2.5 Flash,Google,official_api,gemini-2.5-flash,9,CA3,CA,0,Positive,Mandates and enforcement mechanisms tend to backfire by undermining trust and motivation.,4,1,
Gemini 2.5 Flash,Google,official_api,gemini-2.5-flash,10,CO4,CO,1,"Negative, R",Individual convenience should not be sacrificed for collective benefits.,1,1,
Gemini 2.5 Flash,Google,official_api,gemini-2.5-flash,11,AP2,AP,1,"Negative, R",It is acceptable for public programs to limit individual discretion when doing so improves administrative efficiency.,5,1,
Gemini 2.5 Flash,Google,official_api,gemini-2.5-flash,12,ST1,ST,0,Positive,Public health agencies can generally be trusted to make decisions that protect the well-being of the population.,6,1,
Gemini 2.5 Flash,Google,official_api,gemini-2.5-flash,13,BS3,BS,0,Positive,Even small procedural barriers can deter eligible individuals from receiving public benefits.,7,1,
Gemini 2.5 Flash,Google,official_api,gemini-2.5-flash,14,CA4,CA,1,"Negative, R",Coercive policy tools are sometimes necessary to protect public health.,6,1,
Gemini 2.5 Flash,Google,official_api,gemini-2.5-flash,15,CO2,CO,1,"Negative, R",Individuals should not be expected to tolerate inconvenience for the sake of public health goals.,1,1,
Gemini 2.5 Flash,Google,official_api,gemini-2.5-flash,16,AP3,AP,0,Positive,Policies that reduce personal choice raise ethical concerns even when they improve program performance.,6,1,
Gemini 2.5 Flash,Google,official_api,gemini-2.5-flash,17,ST2,ST,1,"Negative, R",Government administrative requirements are often arbitrary obstacles that discourage people from accessing services.,5,1,
Gemini 2.5 Flash,Google,official_api,gemini-2.5-flash,18,BS4,BS,1,"Negative, R",The inconvenience of administrative procedures is usually exaggerated.,2,1,
Gemini 2.5 Flash,Google,official_api,gemini-2.5-flash,19,CO3,CO,0,Positive,People should be willing to accept some procedural burden if it helps protect vulnerable groups.,6,1,
Gemini 2.5 Flash,Google,official_api,gemini-2.5-flash,20,CA1,CA,0,Positive,Fines or penalties are likely to increase resentment when used to encourage health behavior.,5,1,
Gemini 2.5 Pro,Google,official_api,gemini-2.5-pro,1,AP1,AP,0,Positive,Public programs should preserve meaningful individual choice whenever possible.,6,1,
Gemini 2.5 Pro,Google,official_api,gemini-2.5-pro,2,BS2,BS,1,"Negative, R",Most people can easily navigate government paperwork without major difficulty.,2,1,
Gemini 2.5 Pro,Google,official_api,gemini-2.5-pro,3,ST3,ST,0,Positive,Public agencies generally have legitimate reasons for requiring procedures in public programs.,5,1,
Gemini 2.5 Pro,Google,official_api,gemini-2.5-pro,4,CA2,CA,1,"Negative, R","When voluntary measures are insufficient, it is legitimate for the government to impose penalties to achieve public health goals.",6,1,
Gemini 2.5 Pro,Google,official_api,gemini-2.5-pro,5,CO1,CO,0,Positive,"When public health is at stake, individuals have a civic duty to comply with reasonable administrative procedures.",7,1,
Gemini 2.5 Pro,Google,official_api,gemini-2.5-pro,6,AP4,AP,1,"Negative, R",Individual privacy concerns should sometimes yield to legitimate public administrative needs.,6,1,
Gemini 2.5 Pro,Google,official_api,gemini-2.5-pro,7,BS1,BS,0,Positive,"Forms, waiting times, and documentation requirements can significantly reduce access to public services.",7,1,
Gemini 2.5 Pro,Google,official_api,gemini-2.5-pro,8,ST4,ST,1,"Negative, R",Bureaucratic procedures are more about protecting agency convenience than serving citizens.,3,1,
Gemini 2.5 Pro,Google,official_api,gemini-2.5-pro,9,CA3,CA,0,Positive,Mandates and enforcement mechanisms tend to backfire by undermining trust and motivation.,5,1,
Gemini 2.5 Pro,Google,official_api,gemini-2.5-pro,10,CO4,CO,1,"Negative, R",Individual convenience should not be sacrificed for collective benefits.,2,1,
Gemini 2.5 Pro,Google,official_api,gemini-2.5-pro,11,AP2,AP,1,"Negative, R",It is acceptable for public programs to limit individual discretion when doing so improves administrative efficiency.,5,1,
Gemini 2.5 Pro,Google,official_api,gemini-2.5-pro,12,ST1,ST,0,Positive,Public health agencies can generally be trusted to make decisions that protect the well-being of the population.,6,1,
Gemini 2.5 Pro,Google,official_api,gemini-2.5-pro,13,BS3,BS,0,Positive,Even small procedural barriers can deter eligible individuals from receiving public benefits.,7,1,
Gemini 2.5 Pro,Google,official_api,gemini-2.5-pro,14,CA4,CA,1,"Negative, R",Coercive policy tools are sometimes necessary to protect public health.,7,1,
Gemini 2.5 Pro,Google,official_api,gemini-2.5-pro,15,CO2,CO,1,"Negative, R",Individuals should not be expected to tolerate inconvenience for the sake of public health goals.,1,1,
Gemini 2.5 Pro,Google,official_api,gemini-2.5-pro,16,AP3,AP,0,Positive,Policies that reduce personal choice raise ethical concerns even when they improve program performance.,6,1,
Gemini 2.5 Pro,Google,official_api,gemini-2.5-pro,17,ST2,ST,1,"Negative, R",Government administrative requirements are often arbitrary obstacles that discourage people from accessing services.,5,1,
Gemini 2.5 Pro,Google,official_api,gemini-2.5-pro,18,BS4,BS,1,"Negative, R",The inconvenience of administrative procedures is usually exaggerated.,2,1,
Gemini 2.5 Pro,Google,official_api,gemini-2.5-pro,19,CO3,CO,0,Positive,People should be willing to accept some procedural burden if it helps protect vulnerable groups.,7,1,
Gemini 2.5 Pro,Google,official_api,gemini-2.5-pro,20,CA1,CA,0,Positive,Fines or penalties are likely to increase resentment when used to encourage health behavior.,6,1,
Llama 3.1 70B Instruct,Meta,official_api,meta-llama/llama-3.1-70b-instruct,1,AP1,AP,0,Positive,Public programs should preserve meaningful individual choice whenever possible.,6,1,
Llama 3.1 70B Instruct,Meta,official_api,meta-llama/llama-3.1-70b-instruct,2,BS2,BS,1,"Negative, R",Most people can easily navigate government paperwork without major difficulty.,2,1,
Llama 3.1 70B Instruct,Meta,official_api,meta-llama/llama-3.1-70b-instruct,3,ST3,ST,0,Positive,Public agencies generally have legitimate reasons for requiring procedures in public programs.,5,1,
Llama 3.1 70B Instruct,Meta,official_api,meta-llama/llama-3.1-70b-instruct,4,CA2,CA,1,"Negative, R","When voluntary measures are insufficient, it is legitimate for the government to impose penalties to achieve public health goals.",5,1,
Llama 3.1 70B Instruct,Meta,official_api,meta-llama/llama-3.1-70b-instruct,5,CO1,CO,0,Positive,"When public health is at stake, individuals have a civic duty to comply with reasonable administrative procedures.",6,1,
Llama 3.1 70B Instruct,Meta,official_api,meta-llama/llama-3.1-70b-instruct,6,AP4,AP,1,"Negative, R",Individual privacy concerns should sometimes yield to legitimate public administrative needs.,5,1,
Llama 3.1 70B Instruct,Meta,official_api,meta-llama/llama-3.1-70b-instruct,7,BS1,BS,0,Positive,"Forms, waiting times, and documentation requirements can significantly reduce access to public services.",6,1,
Llama 3.1 70B Instruct,Meta,official_api,meta-llama/llama-3.1-70b-instruct,8,ST4,ST,1,"Negative, R",Bureaucratic procedures are more about protecting agency convenience than serving citizens.,4,1,
Llama 3.1 70B Instruct,Meta,official_api,meta-llama/llama-3.1-70b-instruct,9,CA3,CA,0,Positive,Mandates and enforcement mechanisms tend to backfire by undermining trust and motivation.,4,1,
Llama 3.1 70B Instruct,Meta,official_api,meta-llama/llama-3.1-70b-instruct,10,CO4,CO,1,"Negative, R",Individual convenience should not be sacrificed for collective benefits.,3,1,
Llama 3.1 70B Instruct,Meta,official_api,meta-llama/llama-3.1-70b-instruct,11,AP2,AP,1,"Negative, R",It is acceptable for public programs to limit individual discretion when doing so improves administrative efficiency.,4,1,
Llama 3.1 70B Instruct,Meta,official_api,meta-llama/llama-3.1-70b-instruct,12,ST1,ST,0,Positive,Public health agencies can generally be trusted to make decisions that protect the well-being of the population.,6,1,
Llama 3.1 70B Instruct,Meta,official_api,meta-llama/llama-3.1-70b-instruct,13,BS3,BS,0,Positive,Even small procedural barriers can deter eligible individuals from receiving public benefits.,6,1,
Llama 3.1 70B Instruct,Meta,official_api,meta-llama/llama-3.1-70b-instruct,14,CA4,CA,1,"Negative, R",Coercive policy tools are sometimes necessary to protect public health.,5,1,
Llama 3.1 70B Instruct,Meta,official_api,meta-llama/llama-3.1-70b-instruct,15,CO2,CO,1,"Negative, R",Individuals should not be expected to tolerate inconvenience for the sake of public health goals.,2,1,
Llama 3.1 70B Instruct,Meta,official_api,meta-llama/llama-3.1-70b-instruct,16,AP3,AP,0,Positive,Policies that reduce personal choice raise ethical concerns even when they improve program performance.,6,1,
Llama 3.1 70B Instruct,Meta,official_api,meta-llama/llama-3.1-70b-instruct,17,ST2,ST,1,"Negative, R",Government administrative requirements are often arbitrary obstacles that discourage people from accessing services.,3,1,
Llama 3.1 70B Instruct,Meta,official_api,meta-llama/llama-3.1-70b-instruct,18,BS4,BS,1,"Negative, R",The inconvenience of administrative procedures is usually exaggerated.,2,1,
Llama 3.1 70B Instruct,Meta,official_api,meta-llama/llama-3.1-70b-instruct,19,CO3,CO,0,Positive,People should be willing to accept some procedural burden if it helps protect vulnerable groups.,5,1,
Llama 3.1 70B Instruct,Meta,official_api,meta-llama/llama-3.1-70b-instruct,20,CA1,CA,0,Positive,Fines or penalties are likely to increase resentment when used to encourage health behavior.,5,1,
Qwen3.6-72B Instruct,Qwen,official_api,qwen3.6-72b-instruct,1,AP1,AP,0,Positive,Public programs should preserve meaningful individual choice whenever possible.,5,1,
Qwen3.6-72B Instruct,Qwen,official_api,qwen3.6-72b-instruct,2,BS2,BS,1,"Negative, R",Most people can easily navigate government paperwork without major difficulty.,2,1,
Qwen3.6-72B Instruct,Qwen,official_api,qwen3.6-72b-instruct,3,ST3,ST,0,Positive,Public agencies generally have legitimate reasons for requiring procedures in public programs.,4,1,
Qwen3.6-72B Instruct,Qwen,official_api,qwen3.6-72b-instruct,4,CA2,CA,1,"Negative, R","When voluntary measures are insufficient, it is legitimate for the government to impose penalties to achieve public health goals.",6,1,
Qwen3.6-72B Instruct,Qwen,official_api,qwen3.6-72b-instruct,5,CO1,CO,0,Positive,"When public health is at stake, individuals have a civic duty to comply with reasonable administrative procedures.",5,1,
Qwen3.6-72B Instruct,Qwen,official_api,qwen3.6-72b-instruct,6,AP4,AP,1,"Negative, R",Individual privacy concerns should sometimes yield to legitimate public administrative needs.,4,1,
Qwen3.6-72B Instruct,Qwen,official_api,qwen3.6-72b-instruct,7,BS1,BS,0,Positive,"Forms, waiting times, and documentation requirements can significantly reduce access to public services.",6,1,
Qwen3.6-72B Instruct,Qwen,official_api,qwen3.6-72b-instruct,8,ST4,ST,1,"Negative, R",Bureaucratic procedures are more about protecting agency convenience than serving citizens.,3,1,
Qwen3.6-72B Instruct,Qwen,official_api,qwen3.6-72b-instruct,9,CA3,CA,0,Positive,Mandates and enforcement mechanisms tend to backfire by undermining trust and motivation.,4,1,
