"rationale_id","rationale_text","human_access_barriers","human_collective_responsibility","human_coercive_backlash","human_autonomy_infringement","human_procedural_legitimacy"
"R132","While she has a regular doctor and medium trust in authorities, the scenario presents significant barriers: inflexible work schedule makes taking time off difficult, 1-2 hour wait times are burdensome, and the administrative requirements (income verification, proof of residency, multiple forms) add complexity. Her moderate income and full-time job constraints make the upfront time investment particularly costly.","","","","",""
"R078","The combination of logistical barriers (distant clinic, 1-2 hours waiting time, advance scheduling requirement) and administrative burden (multiple forms, documentation requirements) creates significant friction. Her part-time flexible schedule provides some accommodation, but the need to arrange childcare for a 3-year-old and travel distance to an unfamiliar public health center, coupled with medium trust in authorities, likely reduces her willingness to follow through despite having moderate income and access to healthcare.","","","","",""
"R148","She has favorable baseline factors (easy doctor access, medium trust in authorities, flexible schedule as self-employed), but the scenario presents moderate friction: multiple paper forms, 1-2 hour wait, required documentation, and one-week advance scheduling. The documentation requirements and administrative burden may create hesitation, though her schedule flexibility and existing healthcare relationship partially offset these barriers.","","","","",""
"R127","With medium trust and easy access to her own doctor, the burdensome in-person registration, documentation requirements, and long wait times create significant friction that reduces her willingness, though her flexible schedule and health awareness for her child provide some motivation.","","","","",""
"R117","The bureaucratic barriers—in-person registration, documentation requirements, paperwork, long wait times, and advance scheduling—create significant friction for a part-time working single parent with limited resources. Her medium trust in public health provides some motivation, but the burdensome process likely deters follow-through.","","","","",""
"R188","Her medium trust and easy healthcare access provide some baseline motivation, but the burdensome in-person registration, document requirements, long wait times, and advance scheduling create significant friction, especially for a self-employed mother of a young child, lowering her willingness.","","","","",""
"R105","The multiple bureaucratic barriers—in-person registration, document requirements, long wait times, and inability to easily take time off work—create significant obstacles for someone with a full-time inflexible job, a young child, and a distant clinic. Her medium trust in public health authorities is not strong enough to overcome these logistical hurdles.","","","","",""
"R051","The multiple bureaucratic hurdles—in-person registration, document requirements, paperwork, long wait times, and a distant clinic—clash strongly with her inflexible full-time job and childcare responsibilities. Her only medium trust in public health authorities provides little motivation to overcome these significant logistical barriers.","","","","",""
"R048","Her medium trust and easy access to a regular doctor provide some baseline motivation, but the burdensome in-person registration, documentation requirements, long wait, and childcare challenges with a 3-year-old create significant friction that lowers her willingness.","","","","",""
"R168","The burdensome in-person registration, document requirements, long wait times, and advance scheduling conflict with her inflexible full-time job and childcare responsibilities. Her medium trust and distant clinic further reduce motivation to overcome these logistical barriers.","","","","",""
"R020","The bureaucratic burden of in-person registration, document requirements, long wait times, and advance scheduling conflicts heavily with her inflexible full-time job and childcare responsibilities. Her medium trust and lack of a regular provider provide little offsetting motivation to overcome these barriers.","","","","",""
"R008","The bureaucratic in-person registration, document requirements, and 1-2 hour wait pose significant barriers for someone with an inflexible full-time job and a young child. Her medium trust and easy access to her own doctor make this cumbersome public-center process unappealing.","","","","",""
"R037","The bureaucratic hurdles—in-person registration, documentation requirements, long wait times, and a distant clinic—pose significant barriers for someone with limited income, a young child, and only part-time flexible hours. Her medium trust in public health provides some motivation, but the friction likely reduces her willingness substantially.","","","","",""
"R045","The medium trust and part-time flexible hours offer some willingness, but the burdensome in-person registration, paperwork, documentation requirements, long wait, and advance scheduling—combined with childcare responsibilities and no regular provider—create significant barriers that lower her likelihood to proceed.","","","","",""
"R068","Medium trust and self-controlled schedule offer some flexibility, but the burdensome in-person registration, document requirements, long wait times, distant clinic, and childcare needs with a young child create significant barriers that reduce her likelihood of proceeding.","","","","",""
"R027","The burdensome in-person registration, document requirements, long wait times, and inflexible work schedule create significant barriers for someone with limited time off and childcare responsibilities. Her medium trust and distant clinic further reduce her motivation to overcome these obstacles.","","","","",""
"R065","While her self-employment gives her schedule flexibility, the multiple bureaucratic barriers—in-person registration, income and residency documentation, lengthy paper forms, 1-2 hour wait, and a week-long advance scheduling requirement—create significant friction for someone with a low income, no regular healthcare provider, and a young child to manage. Her medium trust in public health authorities means she's not strongly motivated to overcome these obstacles, making it likely she would delay or abandon the process.","","","","",""
"R089","The burdensome registration process—requiring an in-person visit with multiple documents, lengthy paperwork, and a 1-2 hour wait—creates significant logistical barriers for a mother with a 3-year-old child, even with somewhat flexible part-time hours. Her medium trust in public health authorities means she lacks strong ideological motivation to push through these obstacles, and the at-least-one-week scheduling delay further reduces urgency and follow-through likelihood. While her moderate income and flexible schedule provide some capacity to comply, the cumulative friction of this process makes it unlikely she would complete registration.","","","","",""
"R180","While she has scheduling flexibility as a self-employed person, the burdensome registration process—requiring in-person visit, multiple documents, paper forms, and 1-2 hour wait—creates significant friction, especially with a 3-year-old child to manage. Her medium trust in public health authorities means she's not strongly motivated enough to push through these barriers, though she's not opposed to vaccination in principle, landing her at a moderate-to-low willingness level.","","","","",""
"R013","While she has somewhat flexible part-time hours that could accommodate the process, the burdensome registration requirements—in-person visit, document gathering, lengthy paperwork, 1-2 hour wait, and a week-long scheduling delay—create significant friction, especially with a 3-year-old child to manage. Her medium trust in public health authorities means she's not strongly motivated enough to push through these barriers, and her moderate income and high school education level suggest she may find the bureaucratic process discouraging rather than routine.","","","","",""
"R172","While her self-employment gives her schedule flexibility, the burdensome registration process—requiring in-person visit, multiple documents, lengthy paperwork, and a 1-2 hour wait—creates significant logistical friction, especially with a 3-year-old child to manage. Her medium trust in public health authorities means she's not strongly motivated to overcome these barriers, and the distant clinic already signals low convenience tolerance, making it likely she would delay or forgo vaccination under these conditions.","","","","",""
"R173","The registration process presents multiple significant barriers for this woman: she works full-time with limited time off, making a 1-2 hour in-person registration visit plus a separate future appointment extremely difficult to arrange. She also has a 3-year-old child to manage, adding logistical complexity, and must gather income verification and proof of residency documents. Her medium trust in public health authorities provides insufficient motivation to overcome these substantial practical obstacles.","","","","",""
"R114","While she has somewhat flexible part-time hours that could accommodate the registration process, the multiple bureaucratic barriers—in-person registration, document gathering, lengthy paperwork, 1-2 hour wait, and a week-long scheduling delay—create significant friction, especially with a 3-year-old child to manage. Her medium trust in public health authorities means she's not strongly motivated enough to push through these obstacles, and her moderate income and high school education level suggest she may find the administrative requirements burdensome and discouraging.","","","","",""
"R169","The registration process presents multiple significant barriers for this person: she works full-time with limited time off, making a 1-2 hour in-person visit plus a separate appointment difficult to arrange, and she likely has childcare constraints with a 3-year-old. The requirement to gather income verification and proof of residency adds logistical burden for someone without a regular healthcare provider or strong institutional support. Her medium trust in public health authorities provides some motivation, but the cumulative friction of the bureaucratic process makes follow-through unlikely.","","","","",""
"R138","The burdensome registration process—requiring an in-person visit with multiple documents, lengthy paperwork, 1-2 hour wait, and advance scheduling—creates significant logistical barriers for someone who cannot easily take time off work and has a young child to manage. Her medium trust in public health authorities provides some motivation, but the high friction of this process is likely to deter follow-through, especially given that her regular clinic is already far away, suggesting she is accustomed to access challenges discouraging healthcare engagement.","","","","",""
"R179","The burdensome registration process—requiring an in-person visit with multiple documents, lengthy paperwork, a 1-2 hour wait, and advance scheduling at least a week out—creates significant logistical barriers for someone who works full-time without easy access to time off and has a young child to manage. Her lack of a regular healthcare provider means she has no trusted intermediary to encourage her through the process, and her medium trust in public health authorities provides insufficient motivation to overcome these obstacles. The combination of time constraints, administrative complexity, and moderate health system trust makes it unlikely she would follow through.","","","","",""
"R015","While she has flexible part-time hours and a moderate income that could support navigating bureaucratic requirements, the burdensome registration process—requiring in-person registration with multiple documents, lengthy paperwork, 1-2 hour wait times, and a week-long scheduling delay—creates significant friction, especially with a 3-year-old child to manage. Her medium trust in public health authorities means she lacks strong ideological motivation to push through these barriers, making it likely she would delay or abandon the process unless she felt a strong personal health urgency.","","","","",""
"R199","While she has schedule flexibility as a self-employed individual, the burdensome registration process—requiring in-person registration with multiple documents, lengthy paperwork, a 1-2 hour wait, and a week-long lead time—creates significant friction, especially with a 3-year-old child to manage. Her medium trust in public health authorities means she's not strongly motivated enough to overcome these logistical barriers, making it likely she would delay or forgo vaccination unless the process became simpler.","","","","",""
"R035","While she has somewhat flexible part-time hours and a moderate income, the burdensome registration process—requiring an in-person visit with documentation, lengthy paperwork, and a 1-2 hour wait—creates significant logistical friction, especially with a 3-year-old child to manage. Her medium trust in public health authorities means she isn't strongly motivated to overcome these barriers, and the one-week advance scheduling adds further inconvenience, making it likely she would delay or forgo vaccination unless strongly motivated by a specific health concern.","","","","",""
"R120","The registration process may be a significant barrier due to the time commitment and paperwork required, especially for someone with a busy work schedule and a young child.","","","","",""
"R109","The person's self-employment and control over their schedule may make it easier to attend the registration, but the complex process, including income verification and a long wait, could be a significant barrier, especially with a young child.","","","","",""
"R070","The person's willingness is moderate due to the potential challenges of taking time off work, arranging childcare, and the lengthy registration process, which may be burdensome given her time constraints and responsibilities.","","","","",""
"R032","The person's medium trust in public health authorities and the relatively low-income level might make her hesitant to engage with a potentially time-consuming and bureaucratic process, especially with a young child to care for.","","","","",""
"R072","The person's medium trust in public health authorities and the time-consuming registration process, including the need for paperwork and a long wait, may deter her from proceeding, especially with a young child and a distant clinic.","","","","",""
"R186","The person's busy work schedule, the need for time-consuming registration, and the requirement to provide various documents may be significant barriers, especially with a young child and a distant clinic.","","","","",""
"R067","The person's trust in public health authorities is medium, and the registration process is time-consuming and requires a significant amount of documentation, which may be challenging for a busy working mother.","","","","",""
"R110","The person's willingness is moderate due to the time commitment and paperwork required, which may be challenging for a working parent with a young child, especially without a regular healthcare provider to assist with the process.","","","","",""
"R108","The person's medium trust in public health authorities and the somewhat inconvenient registration process, including paperwork and waiting times, may deter her from proceeding, but her regular access to healthcare and flexible work hours could balance out these concerns.","","","","",""
"R092","The person's medium trust in public health authorities and the relatively low-income level might make her hesitant to go through the registration process, especially with the required paperwork and waiting time.","","","","",""
"R022","The person's busy work schedule, lack of childcare options, and the complex registration process may deter her from getting vaccinated, especially with the need for time-consuming paperwork and income verification.","","","","",""
"R024","The person's medium trust in public health authorities and the complex registration process, including the need for documentation and long wait times, may deter her from proceeding, especially with a young child to care for.","","","","",""
"R058","The person's medium trust in public health authorities and the relatively low-income level might make her hesitant to engage with a potentially complex and time-consuming registration process, especially with a young child to care for.","","","","",""
"R097","The in-person registration, paperwork, and 1-2 hour wait create significant logistical barriers for a full-time worker with a young child and no regular clinic. Her medium trust in public health authorities and low income add further friction, though the requirement for income verification may not be a major deterrent.","","","","",""
"R047","The person has medium trust in public health authorities and no regular doctor, which may reduce motivation. The in-person registration with paperwork, income and residency proof, and long waits adds significant hassle, especially with a young child and part-time work. However, somewhat flexible hours and no stated anti-vaccine stance keep willingness moderate.","","","","",""
"R149","The in-person registration, paperwork, income verification, and long wait create substantial logistical barriers for a part-time working mother with a young child and no regular clinic. Her medium trust in authorities and low income add friction, though flexible hours slightly offset the burden.","","","","",""
"R094","The in-person registration, paperwork, and long wait are significant barriers for a full-time worker with a young child and limited income. Her medium trust in authorities and distant clinic further reduce motivation, despite having a regular doctor. The requirement for income and residency proof adds logistical burden without clear benefit to her.","","","","",""
"R036","The person has medium trust in public health authorities and no regular doctor, which may reduce motivation. The in-person registration, paperwork, income verification, and long wait create significant logistical barriers for a part-time working mother with a young child and low income. These burdens likely make vaccination less likely despite some flexibility in her schedule.","","","","",""
"R122","The person has medium trust in public health authorities and good healthcare access, but the in-person registration with paperwork, income verification, and a 1-2 hour wait creates significant logistical burden. With a 3-year-old child and part-time work, these hurdles likely reduce her willingness to proceed.","","","","",""
"R125","The in-person registration, paperwork, and long wait are significant barriers for a full-time worker with a young child and a distant clinic. Medium trust in authorities and no strong motivator mentioned further reduce willingness. The requirement to bring income and residency proof adds hassle without clear benefit.","","","","",""
"R113","The person has medium trust in public health authorities and no regular doctor, which may reduce motivation. The in-person registration with paperwork, income verification, and long waits adds significant logistical burden, especially with a young child and self-employment. These barriers likely lower her willingness to proceed.","","","","",""
"R019","The person has medium trust in public health authorities and no regular doctor, which may reduce motivation. The in-person registration, paperwork, income verification, and long wait create significant logistical barriers for a part-time working mother with a young child and low income. These burdens likely make vaccination less likely despite some flexibility in her schedule.","","","","",""
"R084","The in-person registration, paperwork, and 1-2 hour wait create significant logistical barriers for a full-time worker with a young child and limited income. Her medium trust in public health authorities and distant clinic further reduce motivation to overcome these hurdles.","","","","",""
"R197","The person has medium trust in public health authorities and no regular doctor, which may reduce motivation. The in-person registration, paperwork, income verification, and 1-2 hour wait create significant logistical barriers for a part-time working mother with a young child. These burdens likely make her less willing to proceed.","","","","",""
"R012","The person has medium trust in public health authorities and a regular doctor, but the in-person registration with income verification, paperwork, long wait, and advance scheduling creates significant logistical barriers. Her part-time flexible work and young child make these requirements harder to manage, and her low income may make income verification feel burdensome or stigmatizing.","","","","",""
"R030","The person has medium trust in public health authorities and easy access to a regular doctor, but the in-person registration with income verification, multiple paper forms, and 1-2 hour wait creates significant logistical burden. As a self-employed mother of a young child, she controls her schedule but may find these requirements inconvenient and discouraging.","","","","",""
"R163","The person has moderate trust in public health authorities and flexible work hours, which may help with scheduling. However, the lack of a regular doctor, the need to arrange childcare, and the burdensome registration process with long wait times and paperwork may significantly reduce her willingness.","","","","",""
"R066","The cumbersome registration process, long waiting time, and need to take time off work are significant barriers for someone with limited schedule flexibility and childcare responsibilities. While she has moderate trust in public health and good healthcare access, these logistical hurdles likely reduce her willingness.","","","","",""
"R133","The process requires significant time, paperwork, and documentation, which may be burdensome for someone with a low income, no regular healthcare provider, and childcare responsibilities. Medium trust in public health authorities suggests some motivation, but logistical barriers likely reduce willingness.","","","","",""
"R053","The process is inconvenient and time-consuming, requiring in-person registration, documentation, and a long wait, which may be challenging for a part-time worker with a young child and no regular healthcare provider. Her medium trust in public health authorities suggests she is not highly motivated to overcome these barriers.","","","","",""
"R002","While she has access to healthcare and moderate trust in public health, the inconvenient registration process, required documentation, and long waiting times pose significant barriers, especially given her job's inflexibility and childcare responsibilities. These factors likely reduce her willingness to proceed.","","","","",""
"R123","While she has access to healthcare and moderate trust in public health, the inconvenient registration process, required documentation, and long waiting times pose significant barriers, especially given her full-time job and childcare responsibilities. These factors likely reduce her willingness to proceed.","","","","",""
"R166","The cumbersome registration process, long waiting times, and need to take time off work are significant barriers for someone with limited schedule flexibility and a distant clinic. Medium trust in public health may motivate some effort, but overall willingness is likely reduced by these access challenges.","","","","",""
"R098","She has moderate trust in public health, flexible work hours, and good healthcare access, which support willingness. However, the in-person registration, paperwork, and waiting time are inconvenient, especially with a young child, reducing her likelihood somewhat.","","","","",""
"R139","The cumbersome registration process, need for in-person visits, required documentation, and long waiting times are significant barriers, especially given her limited job flexibility and childcare responsibilities. While she has moderate trust in public health and good healthcare access, these logistical challenges likely reduce her willingness to proceed.","","","","",""
"R175","The registration process is inconvenient and time-consuming, which is a significant barrier for someone with a full-time job, childcare responsibilities, and no regular healthcare provider. Medium trust in public health authorities may motivate some effort, but logistical hurdles likely reduce willingness.","","","","",""
"R158","The cumbersome registration process, long waiting times, and need to take time off work are significant barriers for someone with limited schedule flexibility and a distant clinic. Medium trust in public health may motivate her somewhat, but logistical challenges likely reduce her willingness.","","","","",""
"R046","She has moderate trust in public health and flexible scheduling, but the inconvenient registration process, travel distance, and paperwork may deter her. Her motivation may be balanced by the hassle involved.","","","","",""
"R185","The cumbersome registration process, travel distance, and required documentation create significant barriers, especially for someone with a young child. Her medium trust in public health and flexible schedule may help, but overall willingness is likely moderate due to the inconvenience.","","","","",""
"R057","The in-person registration with multiple documents and long wait times creates significant inconvenience, especially for a self-employed mother with a young child. Medium trust in public health authorities may not be enough to overcome these barriers, leading to moderate reluctance.","","","","",""
"R059","The complex in-person registration with paperwork, long wait times, and advance scheduling poses significant barriers for a full-time worker with limited time and low income. Medium trust in public health is not enough to overcome these logistical challenges, reducing willingness.","","","","",""
"R124","The in-person registration with paperwork, income and residency verification, and long wait times pose significant barriers for a full-time worker with limited time off and low income. Medium trust in public health and access to a regular doctor may encourage vaccination, but logistical challenges reduce willingness.","","","","",""
"R189","The in-person registration with multiple documents and lengthy wait times creates a significant inconvenience, especially for a self-employed mother with a young child. Medium trust in public health authorities may not be enough to overcome these barriers, reducing her willingness to proceed.","","","","",""
"R156","The in-person registration with multiple documents and long wait times poses a significant barrier for a part-time working mother without a regular doctor. Medium trust in public health authorities may not be enough to overcome these logistical challenges.","","","","",""
"R134","The in-person registration with multiple documents and lengthy wait times creates significant barriers for a part-time working mother with a young child, despite her medium trust in public health and easy access to a doctor. These logistical challenges likely reduce her willingness to proceed.","","","","",""
"R025","The in-person registration with paperwork and long wait times poses a significant barrier for a self-employed mother with low income, despite easy access to a doctor and medium trust in public health. The complexity and time commitment likely reduce her willingness to proceed.","","","","",""
"R153","The in-person registration with paperwork, long wait times, and advance scheduling poses significant barriers for a full-time worker with limited time off and a young child. Medium trust in public health authorities may not be enough to overcome these logistical challenges.","","","","",""
"R171","The in-person registration with multiple documents and long wait times poses a significant barrier for a self-employed mother with a low income and no regular healthcare provider, reducing her willingness. Medium trust in public health authorities provides some motivation but is likely insufficient to overcome the logistical challenges.","","","","",""
"R055","The in-person registration with paperwork and long wait times is a significant barrier, especially for a self-employed mother with a young child and no regular healthcare provider. Medium trust in public health may motivate some willingness, but the logistical challenges likely reduce her likelihood to proceed.","","","","",""
"R099","The in-person registration with paperwork, long wait times, and advance scheduling poses significant barriers for a full-time worker with limited time off and a young child. Medium trust in public health authorities provides some motivation, but logistical challenges likely reduce willingness.","","","","",""
"R150","The in-person registration with multiple documents and long wait times poses significant barriers for a full-time worker with limited time off and a young child. Medium trust in public health may motivate some willingness, but logistical challenges likely reduce overall willingness.","","","","",""
"R074","The in-person registration with paperwork, long wait times, and advance scheduling poses significant barriers for a full-time worker with limited time off and a young child. Medium trust in public health authorities may not be enough to overcome these logistical challenges.","","","","",""
"R073","Her medium trust in public health authorities suggests some openness to vaccination, but the cumbersome registration process and lack of a regular healthcare provider may deter her. However, her flexible schedule could allow her to accommodate the requirements.","","","","",""
"R083","Her medium trust in public health authorities and access to a regular doctor suggest some motivation to vaccinate. However, the cumbersome registration process and her job constraints may deter her due to the time commitment required.","","","","",""
"R182","The requirement to register in person and provide documentation may be a barrier due to her low income and the distance to the clinic. Her medium trust in public health authorities suggests some willingness, but the logistical challenges could deter her.","","","","",""
"R031","The requirement to register in person and complete paperwork, combined with her job constraints and lack of a regular healthcare provider, may deter her from proceeding. Her medium trust in public health authorities suggests some openness, but logistical barriers are significant.","","","","",""
"R187","Her medium trust in public health authorities and the inconvenience of the registration process may deter her, but her ability to control her schedule and having a young child might motivate her to proceed with vaccination despite the hurdles.","","","","",""
"R014","The logistical barriers such as the need for in-person registration, income verification, and long waiting times may deter her due to her limited income and job constraints. Her medium trust in public health authorities suggests some willingness, but the access difficulties could significantly lower her motivation.","","","","",""
"R091","The requirement to register in person and provide documentation, combined with a long waiting time and scheduling difficulties, may deter her due to her full-time job and childcare responsibilities. Her medium trust in public health authorities suggests some willingness, but logistical barriers are significant.","","","","",""
"R028","The requirement to register in person and complete paperwork, combined with her job constraints and lack of a regular doctor, may deter her. However, her medium trust in public health authorities suggests some willingness to comply despite the inconvenience.","","","","",""
"R029","The person may be deterred by the logistical barriers such as in-person registration, paperwork, and waiting time. However, her medium trust in public health authorities and the presence of a young child might motivate her to overcome these obstacles to get vaccinated.","","","","",""
"R130","Her medium trust in public health authorities and flexible schedule may motivate her to get vaccinated, but the cumbersome registration process and lack of a regular healthcare provider could deter her.","","","","",""
"R077","The requirement to register in person and complete paperwork, combined with her job constraints and lack of a regular doctor, may deter her. However, her medium trust in public health authorities and having a young child might motivate her to overcome these barriers.","","","","",""
"R181","She has the flexibility to manage her schedule and access to a regular doctor, which may facilitate the process. However, the cumbersome registration process and medium trust in public health authorities might slightly reduce her willingness.","","","","",""
"R164","Her medium trust in public health authorities and flexible work hours suggest she might be willing to go through the process, but the lack of a regular doctor and the cumbersome registration process could deter her somewhat.","","","","",""
"R170","The multi-step, time-consuming registration process, including multiple trips, long waiting times, and documentation requirements, presents a significant barrier. While her self-employment offers schedule flexibility to manage these demands, her medium trust in public health authorities does not provide a strong intrinsic motivation to overcome such a high logistical burden.","","","","",""
"R082","The person's flexible self-employment schedule significantly mitigates the time commitment required for in-person registration, waiting, and two separate trips. However, the need to gather documents, complete multiple forms, and endure a 1-2 hour wait for registration still presents a notable barrier. The lack of a regular doctor suggests lower engagement with the health system, which might reduce willingness to navigate this bureaucratic process, despite the potential motivation from having a child.","","","","",""
"R176","The extensive in-person registration process, including a 1-2 hour wait and multiple forms, presents a significant barrier, especially for a mother with a 3-year-old child who would require childcare or be present during the long wait. The need to gather income verification and proof of residency, combined with a separate appointment scheduled a week in advance, adds further logistical hurdles that outweigh her medium trust in public health and somewhat flexible work hours.","","","","",""
"R147","The person faces significant barriers due to her inflexible full-time job and childcare responsibilities, requiring two separate, time-consuming in-person visits for registration and vaccination. The need for income verification and proof of residency adds further administrative burden. Her medium trust in public health authorities does not provide strong motivation to overcome these substantial logistical hurdles.","","","","",""
"R174","The requirement for in-person registration with a 1-2 hour wait, coupled with a job that does not allow easy time off and the need for childcare for a 3-year-old, creates significant logistical barriers. While her trust in public health is medium, these practical challenges make proceeding with vaccination unlikely.","","","","",""
"R131","While the person's self-employment offers a flexible schedule, the requirement for two separate in-person trips (registration with a 1-2 hour wait, then the appointment) presents a significant logistical challenge due to having a 3-year-old child. This, combined with the need to gather documents and complete forms, and only medium trust in authorities, lowers the overall willingness despite the scheduling flexibility.","","","","",""
"R141","The person faces significant practical barriers due to a job that does not allow easy time off and the need to arrange childcare for her 3-year-old. The registration process is highly inconvenient, requiring an in-person visit with a 1-2 hour wait, completion of multiple paper forms, and gathering specific documents, making it very difficult to navigate.","","","","",""
"R096","The in-person registration process, requiring documentation, multiple forms, and an estimated 1-2 hour wait before an appointment can even be scheduled, presents significant practical barriers. This is particularly challenging for a low-income mother with a 3-year-old child and no regular healthcare connection, despite her flexible work schedule.","","","","",""
"R054","The requirement for in-person registration, including 1-2 hours waiting time, multiple forms, and documentation, presents significant logistical barriers. Her full-time job with inflexible hours and the need for childcare for her 3-year-old make this time commitment highly inconvenient and difficult to manage, despite her medium trust in public health.","","","","",""
"R104","The extensive in-person registration process, including a 1-2 hour wait and multiple forms, presents a significant barrier, especially for a mother with a 3-year-old child who would require childcare or be present during the long wait. The need to gather income verification and proof of residency, combined with a separate appointment scheduled a week in advance, adds further logistical hurdles that outweigh her medium trust in public health and somewhat flexible work hours.","","","","",""
"R021","The requirement for multiple in-person visits, including a 1-2 hour wait for registration and a separate appointment, creates significant logistical barriers for someone with a full-time job that does not allow time off easily and a 3-year-old child. Despite medium trust in public health, the practical challenges of time off, childcare, and administrative steps (forms, documentation) would severely reduce her willingness to proceed.","","","","",""
"R042","Despite having schedule flexibility from being self-employed, the person faces significant barriers. The in-person registration, requirement for income verification and proof of residency, lengthy waiting times, and the need for two separate trips (registration then appointment) create a substantial logistical and time burden. This is particularly challenging for someone with a low income, a 3-year-old child requiring childcare, and a clinic far from home.","","","","",""
"R136","The multi-step, time-consuming registration process, including a 1-2 hour wait and separate appointment scheduling, presents a significant barrier for a parent with a 3-year-old child. While she has flexible hours, the administrative burden and need for childcare for multiple trips would likely outweigh her medium trust in public health authorities.","","","","",""
"R100","Although the person has flexible hours, the scenario presents significant logistical hurdles, including in-person registration, extensive paperwork, and a long wait time. These barriers are particularly challenging to manage with a young child. Given her medium trust in public health authorities, the high level of administrative burden is likely to outweigh her motivation to proceed.","","","","",""
"R101","The required in-person registration, long wait times, and extensive paperwork create significant logistical hurdles. As a low-income parent of a young child, arranging transportation and childcare for what is likely two separate trips (registration and vaccination) is a major barrier. Her medium trust in public health authorities is not strong enough to overcome these substantial practical obstacles.","","","","",""
"R193","The registration process presents significant logistical barriers, including a long wait time and the need for a separate trip. These hurdles are especially challenging for a person with a young child who would require childcare for two separate appointments. While her flexible schedule is a positive factor, the high time commitment and bureaucratic requirements are strong deterrents.","","","","",""
"R102","The required in-person registration, long wait times, and need for two separate trips create significant logistical hurdles. Given her inflexible full-time job and childcare responsibilities on a low income, taking the necessary time off would be extremely difficult. Her medium trust in public health is unlikely to provide sufficient motivation to overcome these substantial barriers.","","","","",""
"R093","The willingness is low due to the significant logistical barriers, including the need for two separate in-person trips, arranging childcare for her young child, and enduring a long wait time just to register. These high-friction requirements are substantial deterrents for a person with no regular doctor and only medium trust in the system. Her flexible schedule is unlikely to overcome these multiple hurdles.","","","","",""
"R007","While the person has a flexible schedule, the registration process is highly burdensome, requiring two separate in-person trips, extensive paperwork, and a long wait time. Given her medium trust in public health authorities and easy access to her regular doctor, she is unlikely to endure such a difficult process. The logistical challenges, especially with a young child, likely outweigh her ability to take time off.","","","","",""
