model,profile_id,repetition,w_low,w_high,delta,low_rationale,high_rationale
Claude Opus 4.8,P03,1,72,30,42,"The scenario removes major logistical barriers that matter for someone with a demanding job and a young child: evening/weekend hours, online scheduling, minimal documentation, and a quick 15-minute visit accommodate her tight schedule. Her medium trust in public health authorities and lower income tempers full enthusiasm, but the convenience and her access to regular care push willingness moderately high.","While she has medium trust in health authorities and access to a regular doctor, the registration scenario presents significant barriers: a full-time inflexible job, a young child, and a low income that makes taking 1-2 hours plus an in-person trip with paperwork and documentation costly. These logistical hurdles substantially reduce her likelihood of completing the process despite no strong vaccine hesitancy."
Claude Opus 4.8,P03,2,72,30,42,"The scenario removes most practical barriers that would matter for someone with a demanding job and a young child: online scheduling, evening/weekend pharmacy hours, minimal documentation, and a quick 15-minute visit. With medium trust in public health authorities and easy access to care, her willingness is moderately high, though not maximal given the lack of strong vaccine endorsement.","While she has a regular doctor and medium trust in public health, the scenario imposes substantial barriers—in-person registration, documentation requirements, paper forms, 1-2 hour waits, and advance scheduling. These obstacles are especially burdensome for someone working full-time in an inflexible job with a young child and limited income, making it difficult to comply despite no strong opposition to vaccination."
Claude Opus 4.8,P03,3,72,28,44,"The scenario removes major barriers for someone with limited time off work: evening/weekend hours, nearby location, online scheduling, minimal documentation, and a quick 15-minute visit all strongly accommodate her constraints. Her medium trust in public health authorities tempers full enthusiasm, but the high convenience and her access to regular care push willingness above average.","While she has medium trust in health authorities and access to a regular doctor, the in-person registration with significant barriers—document requirements, paperwork, 1-2 hour wait, and a job that doesn't allow time off—creates substantial logistical obstacles, especially as a single working mother of a young child with limited income. These friction points likely outweigh her moderate baseline willingness."
Claude Opus 4.8,P03,4,72,32,40,"The scenario removes major logistical barriers that matter for someone with a demanding job and a young child: extended evening/weekend pharmacy hours, online scheduling, minimal documentation, and a quick 15-minute visit. Her medium trust in public health authorities tempers enthusiasm somewhat, but the convenience and her access to regular healthcare make her fairly likely to proceed.","While she has access to regular healthcare and medium trust in authorities, the registration scenario poses significant barriers: in-person registration with documentation requirements, 1-2 hour wait times, and advance scheduling are especially burdensome for someone working full-time without flexible time off and caring for a young child. These logistical and time-cost obstacles substantially reduce her likelihood of completing the process despite no fundamental opposition to vaccination."
Claude Opus 4.8,P03,5,72,30,42,"The scenario removes major logistical barriers that matter for someone with limited time off and a young child: evening/weekend pharmacy hours, online scheduling, minimal documentation, and a quick 15-minute visit. Her medium trust in public health authorities tempers full enthusiasm, but the high convenience and her access to regular care push willingness above average.","Her medium trust suggests baseline openness, but the registration burden is high: in-person visits, documentation requirements, paperwork, and a 1-2 hour wait conflict sharply with her inflexible full-time job, low income, and childcare responsibilities. These logistical barriers substantially reduce her likelihood of following through despite no strong ideological opposition."
Claude Opus 4.8,P04,1,68,35,33,"The convenient logistics—nearby pharmacy, evening/weekend hours, online scheduling, minimal documentation, and short time commitment—address many practical barriers facing a part-time working mother with limited income and no regular doctor. Her medium trust in public health authorities tempers her willingness somewhat, but the low-friction, accessible setup makes participation moderately likely.","While she has medium trust in public health authorities, the registration process presents significant barriers for someone with limited income, part-time work, and a young child: in-person registration, document requirements, paperwork, long wait times, and advance scheduling all create friction. The lack of a regular doctor and her need for childcare further reduce the likelihood she completes this burdensome process."
Claude Opus 4.8,P04,2,68,35,33,"The convenient logistics—nearby pharmacy, extended hours, online scheduling, minimal documentation, and short time commitment—address many access barriers relevant to a part-time worker with a young child and no regular doctor. Her medium trust in public health authorities moderates her enthusiasm, keeping willingness moderately positive rather than strongly committed.","While her medium trust in public health authorities provides some baseline willingness, the substantial logistical barriers—in-person registration, document requirements, paperwork, 1-2 hour wait, and childcare concerns for her 3-year-old—create significant friction. Her part-time work, low income, and lack of a regular healthcare provider further reduce the likelihood she would complete this burdensome process."
Claude Opus 4.8,P04,3,68,35,33,"The scenario removes major access barriers that matter for a lower-income parent with flexible part-time work: nearby pharmacy with evening/weekend hours, minimal documentation, online scheduling, and a quick 15-minute visit. Her medium trust in public health authorities and lack of a regular provider temper full enthusiasm, but the high convenience makes her moderately likely to proceed.","Her medium trust provides some baseline motivation, but the heavy administrative burden—in-person registration, document requirements, paper forms, 1-2 hour wait, and advance scheduling—poses significant barriers for a low-income part-time worker with a young child and no regular clinic. These friction points are likely to substantially reduce her follow-through despite moderate underlying willingness."
Claude Opus 4.8,P04,4,68,35,33,"The highly accessible scenario—nearby pharmacy with extended hours, online scheduling, minimal documentation, and short time commitment—addresses key barriers for someone with limited income, no regular provider, and childcare responsibilities. Her medium trust in public health authorities tempers her willingness somewhat, but the convenience factors make her moderately likely to proceed.","Medium trust provides some baseline motivation, but the burdensome in-person registration with required documentation, paperwork, long wait times, and a young child to care for creates significant logistical barriers. Her part-time work with only somewhat flexible hours, low income, and lack of a regular healthcare provider further reduce the likelihood she completes this multi-step process."
Claude Opus 4.8,P04,5,68,35,33,"The highly accessible scenario—nearby pharmacy with extended hours, minimal documentation, online scheduling, and short time commitment—addresses many barriers this person faces given her part-time flexible work, low income, and lack of a regular doctor. Her medium trust in public health authorities tempers her willingness, but the convenience factors and the presence of a young child likely push her toward a moderately high likelihood of proceeding.","Medium trust in public health and concern for her child provide some motivation, but the burdensome in-person registration, paperwork, documentation requirements, and 1-2 hour wait pose significant barriers for a low-income, part-time working single parent without a regular provider. These logistical hurdles likely outweigh her moderate baseline willingness."
Claude Opus 4.8,P05,1,72,35,37,"The convenient nearby pharmacy with evening/weekend hours, online scheduling, minimal documentation, and short time commitment directly address her barriers of distant clinic and flexible-but-limited part-time work. Her medium trust in public health authorities tempers full enthusiasm, but the low-friction logistics make her fairly likely to proceed.","While she has medium trust in public health authorities, the registration scenario presents significant barriers: an in-person visit requiring documentation, lengthy paperwork, 1-2 hour wait times, and advance scheduling. These obstacles are especially burdensome given her part-time work, low income, distant clinic, and the need to arrange childcare for her young child, which substantially reduces her likelihood of following through."
Claude Opus 4.8,P05,2,72,35,37,"The convenient nearby pharmacy with extended evening/weekend hours, online scheduling, minimal documentation, and short time commitment directly address her barriers as a part-time working mother with a distant clinic and modest income. Her medium trust in public health authorities tempers full enthusiasm, but the low-friction logistics make her fairly likely to proceed.","Her medium trust and having a young child provide some motivation, but the significant barriers—in-person registration, document requirements, paperwork, long wait times, distant clinic, and limited income with only part-time flexible hours—create substantial logistical friction that lowers willingness to follow through."
Claude Opus 4.8,P05,3,72,35,37,"The convenient nearby pharmacy with extended hours, online scheduling, minimal documentation, and short time commitment directly address her barriers of limited income, distant clinic, and part-time work with childcare responsibilities. Her medium trust in public health authorities tempers her enthusiasm somewhat, but the highly accessible setup makes her moderately-to-strongly willing.","While she has medium trust in public health authorities, the registration process presents significant barriers given her circumstances: in-person registration with documentation requirements, long wait times, and an advance scheduling requirement are difficult for a part-time working mother of a young child with limited income and a distant clinic. The cumulative friction of these logistical hurdles likely outweighs her moderate baseline willingness."
Claude Opus 4.8,P05,4,72,32,40,"The scenario removes major access barriers that matter for this person: a nearby pharmacy with evening/weekend hours addresses her distant clinic and part-time flexible schedule, and minimal documentation plus quick 15-minute service eases logistical and childcare constraints. Her medium trust in public health authorities tempers enthusiasm somewhat, but the convenience factors push willingness moderately high.","While she has medium trust in health authorities, the registration process presents significant barriers: in-person registration, document requirements, lengthy paperwork, 1-2 hour wait times, and advance scheduling are especially burdensome for a part-time working single parent with a young child, limited income, and a clinic that is already far from home. These logistical and time costs substantially reduce her likelihood of following through."
Claude Opus 4.8,P05,5,72,38,34,"The convenient nearby pharmacy with evening/weekend hours, online scheduling, minimal documentation, and short time commitment strongly addresses her practical barriers as a part-time working mother with limited income and a distant regular clinic. Her medium trust in public health authorities tempers full enthusiasm, but the low-friction logistics make her fairly likely to proceed.","Medium trust and a regular doctor provide some baseline willingness, but the burdensome in-person registration, document requirements, long wait times, and a distant clinic create significant friction for a part-time working mother with a young child and limited resources. These logistical barriers likely outweigh her moderate motivation."
Claude Opus 4.8,P06,1,68,38,30,"The highly convenient scenario—online scheduling, nearby pharmacy with evening/weekend hours, minimal documentation, and a quick 15-minute visit—aligns well with her part-time flexible schedule and parenting responsibilities. Her medium trust in public health authorities tempers her willingness somewhat, but the low logistical barriers and easy healthcare access make her moderately likely to proceed.","While she has reliable healthcare access and moderate trust in authorities, the burdensome in-person registration with paperwork, document requirements, long wait times, and advance scheduling creates significant friction. As a part-time working mother of a young child with limited income, these logistical barriers substantially lower her willingness to follow through."
Claude Opus 4.8,P06,2,68,38,30,"The convenient logistics—online scheduling, nearby pharmacy with evening/weekend hours, minimal documentation, and short time commitment—strongly support a parent with limited time and flexible part-time work. Her medium trust in public health authorities tempers full enthusiasm, but the low barriers and easy healthcare access push her willingness above the midpoint.","Her medium trust in public health and access to a regular doctor provide some baseline willingness, but the burdensome in-person registration, documentation requirements, long wait times, and need to schedule a week ahead pose significant barriers for a part-time working mother with limited income and a young child."
Claude Opus 4.8,P06,3,70,38,32,"The highly convenient scenario—online scheduling, nearby pharmacy with evening/weekend hours, minimal documentation, and short time commitment—addresses major access barriers for someone working part-time with a young child. Her medium trust in public health authorities tempers full enthusiasm, but the strong logistical fit and easy healthcare access make her moderately-to-fairly willing.","Medium trust and access to a regular doctor provide some baseline willingness, but the burdensome in-person registration, document requirements, long wait times, and need for advance scheduling create significant friction for a part-time working mother with a young child and limited income. These logistical barriers likely deplete her motivation despite no strong vaccine hesitancy."
Claude Opus 4.8,P06,4,70,38,32,"The highly convenient scenario—online scheduling, nearby pharmacy with evening/weekend hours, minimal documentation, and quick 15-minute visit—addresses many barriers relevant to a part-time working parent with a young child. Her medium trust in public health authorities tempers full enthusiasm, but the strong accessibility factors and regular healthcare engagement push willingness above average.","Medium trust and easy regular healthcare access provide some baseline motivation, but the burdensome in-person registration, document requirements, long wait times, and childcare challenges with a 3-year-old create significant friction. Her part-time work and low income make the time costs and bureaucratic hurdles likely to deter follow-through."
Claude Opus 4.8,P06,5,68,38,30,"The highly convenient scenario—online scheduling, nearby pharmacy with evening/weekend hours, minimal documentation, quick confirmation, and short visit time—removes most logistical barriers that would matter to a part-time working parent with a young child. Her medium trust in public health authorities and access to a regular doctor support moderate-to-high willingness, though the medium trust prevents a higher score.","Her medium trust and access to a regular doctor provide some baseline willingness, but the burdensome registration process—in-person paperwork, income verification, 1-2 hour wait, and advance scheduling—poses significant barriers for a low-income part-time worker with a young child. These logistical hurdles likely reduce follow-through despite no strong ideological opposition."
Claude Opus 4.8,P07,1,65,35,30,"The convenient access (nearby pharmacy, evening/weekend hours, online scheduling, minimal documentation, and short time commitment) addresses many practical barriers important to a self-employed single parent with limited income and no regular doctor. Her medium trust in public health authorities keeps her willingness moderate rather than high, but the low-friction process tips her toward proceeding.","Her medium trust provides some baseline motivation, but the high-friction registration process—in-person visit, document requirements, paperwork, long wait times, and advance scheduling—creates significant barriers, especially for a self-employed single parent with a young child and no regular healthcare provider. These logistical hurdles substantially reduce her likelihood of following through."
Claude Opus 4.8,P07,2,65,35,30,"The highly accessible scenario—nearby pharmacy, flexible evening/weekend hours, minimal documentation, online scheduling, and short time commitment—removes most logistical barriers that often deter someone with a young child, low income, and no regular doctor. Her medium trust in public health authorities keeps her from being strongly committed, but the convenience tips her toward moderately willing.","While she controls her own schedule, the bureaucratic burden—in-person registration, document requirements, paper forms, 1-2 hour wait, and a 3-year-old to care for—creates significant friction. Her medium trust in public health and lack of a regular provider further reduce motivation to navigate these obstacles."
Claude Opus 4.8,P07,3,68,32,36,"The convenient scenario—nearby pharmacy, flexible hours matching her self-employed schedule, minimal documentation, and quick visit—removes major barriers for someone with no regular doctor and time constraints from childcare. Her medium trust in public health authorities tempers her willingness somewhat, but the low-friction process makes proceeding fairly likely.","While her self-employment gives her schedule flexibility, the bureaucratic burden—in-person registration, document requirements, paperwork, 1-2 hour wait, and advance scheduling—creates significant friction, especially with a young child and no existing healthcare relationship. Her medium trust and low income may make the income verification step feel intrusive, further reducing follow-through."
Claude Opus 4.8,P07,4,68,32,36,"The highly convenient scenario—nearby pharmacy, extended hours, minimal documentation, quick online scheduling, and short visit—addresses key barriers for a self-employed parent with a flexible schedule and no regular clinic. Her medium trust in public health authorities tempers full enthusiasm, but the low-friction logistics make her moderately likely to proceed.","Her medium trust and self-employment flexibility provide some baseline willingness, but the high-friction registration process—in-person visit, document requirements, paper forms, 1-2 hour wait, and advance scheduling—creates significant barriers, especially for a low-income single parent with a young child and no established healthcare provider."
Claude Opus 4.8,P07,5,65,32,33,"The highly convenient scenario—nearby pharmacy with evening/weekend hours, online scheduling, minimal documentation, and short time commitment—addresses many barriers relevant to a self-employed parent without a regular doctor. Her medium trust in public health authorities tempers full enthusiasm, but the low logistical friction and flexible scheduling make her moderately likely to proceed.","Her medium trust and self-employed flexible schedule are mild positives, but the bureaucratic burden—in-person registration, income and residency documentation, paper forms, 1-2 hour wait, and a week's advance scheduling—creates substantial friction. With a young child, no regular doctor, and a low income that makes time costs significant, these barriers likely outweigh her moderate baseline interest."
Claude Opus 4.8,P08,1,72,38,34,"The convenient nearby pharmacy with extended hours, online scheduling, minimal documentation, and short time commitment address her logistical barriers as a self-employed parent with a distant clinic. Her medium trust in public health authorities moderates her willingness, keeping it positive but not certain.","Her medium trust and self-employed flexible schedule offer some willingness, but the burdensome in-person registration, document requirements, long wait times, distant clinic, and need to arrange childcare for a 3-year-old create significant friction that lowers follow-through, especially given her low income limiting time and resources."
Claude Opus 4.8,P08,2,72,38,34,"The convenient nearby pharmacy with evening/weekend hours, online scheduling, minimal documentation, and short time commitment strongly address her barriers as a self-employed parent with a far clinic and limited income. Her medium trust in public health authorities tempers full enthusiasm but the low-friction logistics make her fairly likely to proceed.","Her medium trust and self-employed flexible schedule offer some willingness, but the bureaucratic burden—in-person registration, document requirements, paper forms, 1-2 hour wait, a distant clinic, and childcare needs for her 3-year-old—creates substantial logistical barriers that would likely deter her."
Claude Opus 4.8,P08,3,72,35,37,"The convenient nearby pharmacy with extended hours, online scheduling, minimal documentation, and short time commitment strongly address barriers relevant to a self-employed mother with a flexible schedule but limited resources. Her medium trust in public health authorities tempers full enthusiasm, but the low-friction logistics make her fairly likely to proceed.","Her medium trust and self-employed flexible schedule are modest positives, but the bureaucratic in-person registration, document requirements, 1-2 hour wait, distant clinic, and need to manage a young child create substantial barriers, especially given her limited income and time constraints."
Claude Opus 4.8,P08,4,72,38,34,"The convenient nearby pharmacy with extended hours, online scheduling, minimal documentation, and short time commitment strongly addresses her logistical barriers as a self-employed mother with a far-away clinic. Her medium trust in public health authorities tempers full enthusiasm, but the low-friction process makes her fairly likely to proceed.","Medium trust provides some baseline motivation, but the in-person registration, document requirements, paperwork, long wait times, and distant clinic create significant barriers for a self-employed mother of a young child with limited income. These logistical hurdles—especially needing childcare and time away from income-generating work—substantially reduce her likelihood of following through."
Claude Opus 4.8,P08,5,72,32,40,"The convenient nearby pharmacy with extended evening and weekend hours fits her flexible self-employed schedule and parenting responsibilities, and the quick, low-documentation online process reduces barriers. Her medium trust in public health authorities tempers but does not eliminate her willingness, leaving her moderately likely to proceed.","While her medium trust in public health authorities provides some baseline willingness, the burdensome registration process creates significant barriers: in-person registration at a distant center, documentation requirements, lengthy paper forms, 1-2 hour wait, and advance scheduling are especially difficult for a low-income self-employed mother of a young child who must manage childcare and lost work time."
Claude Opus 4.8,P09,1,68,38,30,"The highly convenient setup—online scheduling, nearby pharmacy with flexible hours, minimal documentation, and quick visit—aligns well with her self-employed flexible schedule and easy healthcare access. Her medium trust in public health authorities tempers enthusiasm somewhat, but the low-barrier logistics make her moderately likely to proceed.","While she has flexible self-employment scheduling and good healthcare access, the burdensome in-person registration—document requirements, paper forms, 1-2 hour wait, and week advance scheduling—creates significant friction, especially with a young child to manage. Her medium trust provides moderate baseline motivation, but the administrative barriers likely deter follow-through."
Claude Opus 4.8,P09,2,68,42,26,"The highly convenient scenario—online scheduling, nearby pharmacy with flexible hours, minimal documentation, and short time commitment—aligns well with her self-employed, schedule-flexible situation and easy healthcare access. Her medium trust in public health authorities tempers strong enthusiasm, but the low logistical barriers and having a regular doctor push her willingness moderately above neutral.","Her medium trust and easy access to a regular doctor are positives, but the burdensome in-person registration—income verification, paper forms, 1-2 hour wait, and one-week advance scheduling—creates significant friction for a self-employed mother of a young child with limited resources, lowering her willingness."
Claude Opus 4.8,P09,3,68,38,30,"The highly convenient logistics—online scheduling, nearby pharmacy with flexible hours, minimal documentation, and short time commitment—align well with her self-employed flexible schedule and access to regular healthcare. Her medium trust in public health authorities and parental considerations temper full enthusiasm, but the low barriers make her moderately likely to proceed.","Her medium trust and access to a regular doctor are positives, but the burdensome registration process—in-person paperwork, documentation requirements, 1-2 hour wait, and a week's advance scheduling—creates significant friction. As a self-employed mother with a young child and low income, the time and bureaucratic costs likely outweigh her moderate motivation to vaccinate through this channel."
Claude Opus 4.8,P09,4,68,42,26,"The scenario removes nearly all logistical barriers—flexible scheduling, nearby location with extended hours, minimal documentation, and a short time commitment—which aligns well with her self-employed flexible schedule and existing healthcare access. Her medium trust in public health authorities tempers her willingness somewhat, but the convenience and her established relationship with a regular doctor support a moderately high likelihood of proceeding.","Her medium trust and self-employed flexible schedule are mild positives, but the high-friction process—in-person registration, income/residency documentation, paper forms, 1-2 hour wait, and a week's advance scheduling—creates significant barriers, especially for a low-income single parent of a young child. These logistical and administrative hurdles likely dampen her willingness to follow through."
Claude Opus 4.8,P09,5,68,38,30,"The highly convenient access—online scheduling, nearby pharmacy with flexible hours, minimal documentation, and a quick 15-minute visit—aligns well with her self-employed schedule and parenting demands, lowering practical barriers. Her medium trust in public health authorities tempers full enthusiasm, but the strong logistical fit and her existing healthcare engagement push willingness moderately above neutral.","While she has flexible self-employment and a regular doctor, the bureaucratic in-person registration with income/residency verification, paperwork, and 1-2 hour waits creates significant friction, especially with a young child to care for. Her medium trust in authorities and low income (limiting margin for time spent away from work) further reduce willingness to navigate these barriers."
Claude Opus 4.8,P10,1,72,28,44,"The scenario removes most logistical barriers that would affect this person—nearby pharmacy, evening/weekend hours accommodating her inflexible job, no doctor needed, minimal documentation, and quick 15-minute visit. Her medium trust in public health authorities tempers full enthusiasm, but the convenience strongly supports a moderately high willingness.","The administrative burden is high relative to her constraints: she works full-time with little time off, has a young child, and faces in-person registration, document requirements, paper forms, and a 1-2 hour wait. With only medium trust and no regular healthcare relationship, these logistical barriers likely outweigh her motivation, though her medium trust keeps it from being near zero."
Claude Opus 4.8,P10,2,72,28,44,"The scenario removes key barriers this person faces—the extended evening/weekend hours accommodate her inflexible job, the nearby pharmacy compensates for lacking a regular doctor, and the quick 15-minute process with online scheduling fits a busy parent's life. Her medium trust in public health authorities keeps her from being fully enthusiastic, but the convenience strongly favors proceeding.","The in-person registration, documentation requirements, 1-2 hour wait, and advance scheduling create significant barriers for someone with a full-time inflexible job, a young child, and no regular healthcare connection. Her medium trust and lack of an established clinic relationship make these logistical hurdles likely to deter her, though some motivation may remain to protect herself and her child."
Claude Opus 4.8,P10,3,72,28,44,"The scenario removes her main practical barriers—rigid work hours and lack of a regular doctor—by offering evening/weekend pharmacy hours, online scheduling, minimal documentation, and a quick 15-minute visit. Her medium trust in public health authorities keeps her from being fully enthusiastic, but the convenience strongly favors proceeding.","The in-person registration requiring documentation, paper forms, a 1-2 hour wait, and advance scheduling poses serious logistical barriers for a full-time worker who can't easily take time off and has a young child and no regular clinic. Her medium trust provides some baseline motivation, but the high friction of this process likely outweighs it."
Claude Opus 4.8,P10,4,72,28,44,"The scenario removes her main barriers: rigid work hours are accommodated by extended evening/weekend pharmacy hours, no doctor is needed, and the quick 15-minute process fits her busy schedule as a working parent. Her medium trust in public health authorities tempers full enthusiasm, but the convenience strongly favors proceeding.","The in-person registration with income verification, paperwork, 1-2 hour wait, and advance scheduling poses significant barriers for someone working full-time with limited time off and a young child. Her medium trust and lack of a regular provider further reduce motivation to navigate this burdensome process."
Claude Opus 4.8,P10,5,72,30,42,"The scenario removes major barriers this person faces: the evening/weekend pharmacy hours accommodate her inflexible full-time job, the minimal documentation works given she lacks a regular doctor, and the quick 15-minute process plus online scheduling reduce friction. Her medium trust in public health authorities and parenting responsibilities slightly temper full enthusiasm, but the high convenience makes her fairly likely to proceed.","The in-person registration with income verification, paperwork, a 1-2 hour wait, and advance scheduling creates significant barriers for someone who works full-time without easy time off and has a young child. Combined with no regular healthcare provider and only medium trust in public health authorities, these logistical hurdles substantially lower her willingness despite no outright opposition to vaccination."
Claude Opus 4.8,P11,1,75,28,47,"The scenario removes nearly all logistical barriers that matter most to this person—nearby pharmacy with evening/weekend hours accommodates her inflexible full-time job, minimal documentation, online scheduling, and a quick 15-minute visit address her distance and childcare constraints. Her medium trust in public health keeps her from maximum willingness, but the high convenience makes her fairly likely to proceed.","The in-person registration with documentation requirements, lengthy paper forms, 1-2 hour wait, and advance scheduling pose significant barriers for a full-time worker with limited time off and a young child. Her medium trust provides some motivation, but the administrative and logistical burdens substantially reduce her likelihood of following through."
Claude Opus 4.8,P11,2,75,28,47,"The scenario removes her main practical barriers—the nearby pharmacy with evening/weekend hours addresses her inflexible work schedule and the distant clinic, and the quick, low-documentation online booking suits a busy working parent. Her medium trust in public health authorities tempers full enthusiasm, but the high convenience makes her fairly likely to proceed.","The in-person registration with documentation requirements, lengthy paperwork, 1-2 hour wait, and advance scheduling pose significant barriers for a full-time worker with limited time off and young child. Her medium trust provides some baseline motivation, but the high logistical burden substantially reduces her likelihood of following through."
Claude Opus 4.8,P11,3,75,28,47,"The scenario removes nearly all logistical barriers that would matter most to this person: nearby pharmacy with evening/weekend hours accommodates her inflexible full-time job, online scheduling and minimal documentation reduce friction, and the short 15-minute commitment fits a busy parent's schedule. Her medium trust in public health authorities tempers full enthusiasm, but the high convenience makes her fairly likely to proceed.","The in-person registration with documentation requirements, 1-2 hour wait, and advance scheduling create significant barriers for someone with an inflexible full-time job, a young child, and a distant clinic. Her medium trust provides some baseline motivation, but the cumulative logistical hurdles likely outweigh her willingness to navigate them."
