model,provider,access_route,requested_model_id,returned_model_id,route_provider,profile_id,burden_level,repetition,profile_text,scenario_text,raw_response,json_valid,willingness,score_valid,rationale,non_refusal,timestamp,temperature,top_p,metadata_json
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,P02,low,1,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works full-time in a job that does not allow time off easily. She has a 3-year-old child. She has a regular doctor but the clinic is far from her home. Her trust in public health authorities is medium.","The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.","{""willingness"": 74, ""rationale"": ""The scenario removes most of her key barriers—the nearby pharmacy with evening/weekend hours accommodates her inflexible job and distant clinic, the quick 15-minute process suits a busy parent, and minimal documentation lowers friction. Her medium trust in public health tempers full enthusiasm, but the convenient logistics make her fairly likely to proceed.""}",True,74,True,"The scenario removes most of her key barriers—the nearby pharmacy with evening/weekend hours accommodates her inflexible job and distant clinic, the quick 15-minute process suits a busy parent, and minimal documentation lowers friction. Her medium trust in public health tempers full enthusiasm, but the convenient logistics make her fairly likely to proceed.",True,2026-06-04T20:27:00.400230+00:00,0,default,"{""id"": ""gen-1780604817-jRtG9WqGCxSzdlzlcUQA"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,P02,low,2,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works full-time in a job that does not allow time off easily. She has a 3-year-old child. She has a regular doctor but the clinic is far from her home. Her trust in public health authorities is medium.","The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.","{""willingness"": 72, ""rationale"": ""The scenario removes most of this person's key barriers: the nearby pharmacy with evening/weekend hours addresses her inflexible job and distant clinic, online scheduling is convenient, and minimal documentation plus a short 15-minute visit reduce friction. Her medium trust in public health authorities tempers full enthusiasm, but the strong accessibility match makes her reasonably likely to proceed.""}",True,72,True,"The scenario removes most of this person's key barriers: the nearby pharmacy with evening/weekend hours addresses her inflexible job and distant clinic, online scheduling is convenient, and minimal documentation plus a short 15-minute visit reduce friction. Her medium trust in public health authorities tempers full enthusiasm, but the strong accessibility match makes her reasonably likely to proceed.",True,2026-06-04T20:27:04.565544+00:00,0,default,"{""id"": ""gen-1780604820-DhsEHSgfDXpDCm8z8P7Y"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,P02,low,3,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works full-time in a job that does not allow time off easily. She has a 3-year-old child. She has a regular doctor but the clinic is far from her home. Her trust in public health authorities is medium.","The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.","{""willingness"": 72, ""rationale"": ""The scenario removes major barriers this person faces: the nearby pharmacy with evening/weekend hours addresses her inflexible job and distant clinic, the quick 15-minute process and minimal documentation ease logistical and time constraints. Her medium trust in public health keeps willingness from being higher, but the convenience strongly supports follow-through.""}",True,72,True,"The scenario removes major barriers this person faces: the nearby pharmacy with evening/weekend hours addresses her inflexible job and distant clinic, the quick 15-minute process and minimal documentation ease logistical and time constraints. Her medium trust in public health keeps willingness from being higher, but the convenience strongly supports follow-through.",True,2026-06-04T20:27:07.581246+00:00,0,default,"{""id"": ""gen-1780604824-U73Nu10lv3LrrWiCNydD"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,P02,low,4,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works full-time in a job that does not allow time off easily. She has a 3-year-old child. She has a regular doctor but the clinic is far from her home. Her trust in public health authorities is medium.","The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.","{""willingness"": 72, ""rationale"": ""The scenario removes major barriers this person faces: the nearby pharmacy with evening/weekend hours accommodates her inflexible full-time job, the quick 15-minute visit and minimal documentation reduce logistical friction, and online scheduling is convenient. Her medium trust in public health authorities and competing demands as a working single-income parent temper her willingness somewhat, but the highly accessible setup makes her fairly likely to proceed.""}",True,72,True,"The scenario removes major barriers this person faces: the nearby pharmacy with evening/weekend hours accommodates her inflexible full-time job, the quick 15-minute visit and minimal documentation reduce logistical friction, and online scheduling is convenient. Her medium trust in public health authorities and competing demands as a working single-income parent temper her willingness somewhat, but the highly accessible setup makes her fairly likely to proceed.",True,2026-06-04T20:27:10.928648+00:00,0,default,"{""id"": ""gen-1780604827-27vyxNpdONyu2rEXxPBs"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,P02,low,5,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works full-time in a job that does not allow time off easily. She has a 3-year-old child. She has a regular doctor but the clinic is far from her home. Her trust in public health authorities is medium.","The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.","{""willingness"": 72, ""rationale"": ""The scenario removes nearly all of this person's key barriers: a nearby pharmacy with evening/weekend hours addresses her inflexible work schedule and distant clinic, minimal documentation suits her resources, and the quick 15-minute visit fits around childcare needs. Her medium trust in public health authorities is the main moderating factor keeping willingness from being higher.""}",True,72,True,"The scenario removes nearly all of this person's key barriers: a nearby pharmacy with evening/weekend hours addresses her inflexible work schedule and distant clinic, minimal documentation suits her resources, and the quick 15-minute visit fits around childcare needs. Her medium trust in public health authorities is the main moderating factor keeping willingness from being higher.",True,2026-06-04T20:27:14.247239+00:00,0,default,"{""id"": ""gen-1780604831-CIjEtk4MOTg1eyaNViCR"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,P02,high,1,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works full-time in a job that does not allow time off easily. She has a 3-year-old child. She has a regular doctor but the clinic is far from her home. Her trust in public health authorities is medium.","The person must register in person at a designated public health center. The person must bring income verification and proof of residency. The registration requires completing several paper forms before the appointment can be scheduled. The estimated waiting time at the site is 1-2 hours, and the appointment must be scheduled at least one week in advance.","{""willingness"": 28, ""rationale"": ""While she has medium trust in public health authorities, the registration process presents significant practical barriers: she works full-time with little flexibility, has a young child, lives far from her clinic, and faces a long in-person process requiring documentation and waiting. These logistical and time constraints substantially lower her likelihood of following through despite no strong ideological opposition.""}",True,28,True,"While she has medium trust in public health authorities, the registration process presents significant practical barriers: she works full-time with little flexibility, has a young child, lives far from her clinic, and faces a long in-person process requiring documentation and waiting. These logistical and time constraints substantially lower her likelihood of following through despite no strong ideological opposition.",True,2026-06-04T20:27:17.646983+00:00,0,default,"{""id"": ""gen-1780604834-vBnrD1kZlM7LViP1ZeU7"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,P02,high,2,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works full-time in a job that does not allow time off easily. She has a 3-year-old child. She has a regular doctor but the clinic is far from her home. Her trust in public health authorities is medium.","The person must register in person at a designated public health center. The person must bring income verification and proof of residency. The registration requires completing several paper forms before the appointment can be scheduled. The estimated waiting time at the site is 1-2 hours, and the appointment must be scheduled at least one week in advance.","{""willingness"": 28, ""rationale"": ""While she has medium trust in public health, the scenario presents major logistical barriers: a job with no time off, a young child, a distant clinic, in-person registration with documentation requirements, and a 1-2 hour wait. These cumulative obstacles make it difficult for a low-income, time-constrained working mother to follow through despite moderate baseline interest.""}",True,28,True,"While she has medium trust in public health, the scenario presents major logistical barriers: a job with no time off, a young child, a distant clinic, in-person registration with documentation requirements, and a 1-2 hour wait. These cumulative obstacles make it difficult for a low-income, time-constrained working mother to follow through despite moderate baseline interest.",True,2026-06-04T20:27:20.544569+00:00,0,default,"{""id"": ""gen-1780604837-hdcWTQYyz4wtUBDbJ46K"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,P02,high,3,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works full-time in a job that does not allow time off easily. She has a 3-year-old child. She has a regular doctor but the clinic is far from her home. Her trust in public health authorities is medium.","The person must register in person at a designated public health center. The person must bring income verification and proof of residency. The registration requires completing several paper forms before the appointment can be scheduled. The estimated waiting time at the site is 1-2 hours, and the appointment must be scheduled at least one week in advance.","{""willingness"": 28, ""rationale"": ""Significant logistical barriers—in-person registration, document requirements, long wait times, advance scheduling, and a far clinic—conflict heavily with her inflexible full-time job, low income, and childcare responsibilities. Her medium trust provides some motivation, but the practical hurdles likely outweigh her willingness to follow through.""}",True,28,True,"Significant logistical barriers—in-person registration, document requirements, long wait times, advance scheduling, and a far clinic—conflict heavily with her inflexible full-time job, low income, and childcare responsibilities. Her medium trust provides some motivation, but the practical hurdles likely outweigh her willingness to follow through.",True,2026-06-04T20:27:23.660655+00:00,0,default,"{""id"": ""gen-1780604840-DhLxb0KBiOWnylQL0e1x"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,P02,high,4,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works full-time in a job that does not allow time off easily. She has a 3-year-old child. She has a regular doctor but the clinic is far from her home. Her trust in public health authorities is medium.","The person must register in person at a designated public health center. The person must bring income verification and proof of residency. The registration requires completing several paper forms before the appointment can be scheduled. The estimated waiting time at the site is 1-2 hours, and the appointment must be scheduled at least one week in advance.","{""willingness"": 28, ""rationale"": ""While her medium trust in public health doesn't strongly oppose vaccination, the in-person registration with documentation requirements, long wait times, and inflexible work schedule create substantial barriers. With a young child, far clinic, and a job that doesn't allow time off, the logistical burdens likely outweigh her moderate motivation.""}",True,28,True,"While her medium trust in public health doesn't strongly oppose vaccination, the in-person registration with documentation requirements, long wait times, and inflexible work schedule create substantial barriers. With a young child, far clinic, and a job that doesn't allow time off, the logistical burdens likely outweigh her moderate motivation.",True,2026-06-04T20:27:27.173507+00:00,0,default,"{""id"": ""gen-1780604843-5rTMtKofjXx8HwJEWVoD"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,P02,high,5,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works full-time in a job that does not allow time off easily. She has a 3-year-old child. She has a regular doctor but the clinic is far from her home. Her trust in public health authorities is medium.","The person must register in person at a designated public health center. The person must bring income verification and proof of residency. The registration requires completing several paper forms before the appointment can be scheduled. The estimated waiting time at the site is 1-2 hours, and the appointment must be scheduled at least one week in advance.","{""willingness"": 28, ""rationale"": ""While her medium trust in public health authorities provides some baseline willingness, the substantial logistical barriers strongly discourage follow-through: she has an inflexible full-time job with no easy time off, a young child to care for, documentation requirements, and a 1-2 hour wait plus a week's advance scheduling. These friction points are especially burdensome for a low-income working mother and significantly reduce the likelihood she completes the process.""}",True,28,True,"While her medium trust in public health authorities provides some baseline willingness, the substantial logistical barriers strongly discourage follow-through: she has an inflexible full-time job with no easy time off, a young child to care for, documentation requirements, and a 1-2 hour wait plus a week's advance scheduling. These friction points are especially burdensome for a low-income working mother and significantly reduce the likelihood she completes the process.",True,2026-06-04T20:27:30.463956+00:00,0,default,"{""id"": ""gen-1780604847-iVyRJxcDY0fSuvKDrK8q"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,P03,low,1,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works full-time in a job that does not allow time off easily. She has a 3-year-old child. She has a regular doctor and can get appointments easily. Her trust in public health authorities is medium.","The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.","{""willingness"": 72, ""rationale"": ""The scenario removes major logistical barriers that matter for someone with a demanding job and a young child: evening/weekend hours, online scheduling, minimal documentation, and a quick 15-minute visit accommodate her tight schedule. Her medium trust in public health authorities and lower income tempers full enthusiasm, but the convenience and her access to regular care push willingness moderately high.""}",True,72,True,"The scenario removes major logistical barriers that matter for someone with a demanding job and a young child: evening/weekend hours, online scheduling, minimal documentation, and a quick 15-minute visit accommodate her tight schedule. Her medium trust in public health authorities and lower income tempers full enthusiasm, but the convenience and her access to regular care push willingness moderately high.",True,2026-06-04T20:27:34.746205+00:00,0,default,"{""id"": ""gen-1780604850-mjczM71HoE1ajvPpjAfN"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
