model,profile_id,repetition,rationale_high,autonomy_infringement,procedural_legitimacy,collective_responsibility,access_barriers,coercive_backlash
Claude Opus 4.8,P04,2,"While her medium trust in public health authorities provides some baseline willingness, the substantial logistical barriers—in-person registration, document requirements, paperwork, 1-2 hour wait, and childcare concerns for her 3-year-old—create significant friction. Her part-time work, low income, and lack of a regular healthcare provider further reduce the likelihood she would complete this burdensome process.",0,0,1,1,0
Claude Opus 4.8,P04,3,"Her medium trust provides some baseline motivation, but the heavy administrative burden—in-person registration, document requirements, paper forms, 1-2 hour wait, and advance scheduling—poses significant barriers for a low-income part-time worker with a young child and no regular clinic. These friction points are likely to substantially reduce her follow-through despite moderate underlying willingness.",0,0,0,1,0
Claude Opus 4.8,P04,4,"Medium trust provides some baseline motivation, but the burdensome in-person registration with required documentation, paperwork, long wait times, and a young child to care for creates significant logistical barriers. Her part-time work with only somewhat flexible hours, low income, and lack of a regular healthcare provider further reduce the likelihood she completes this multi-step process.",0,0,0,1,0
Claude Opus 4.8,P04,5,"Medium trust in public health and concern for her child provide some motivation, but the burdensome in-person registration, paperwork, documentation requirements, and 1-2 hour wait pose significant barriers for a low-income, part-time working single parent without a regular provider. These logistical hurdles likely outweigh her moderate baseline willingness.",0,0,1,1,0
Claude Opus 4.8,P05,1,"While she has medium trust in public health authorities, the registration scenario presents significant barriers: an in-person visit requiring documentation, lengthy paperwork, 1-2 hour wait times, and advance scheduling. These obstacles are especially burdensome given her part-time work, low income, distant clinic, and the need to arrange childcare for her young child, which substantially reduces her likelihood of following through.",0,0,1,1,1
Claude Opus 4.8,P05,2,"Her medium trust and having a young child provide some motivation, but the significant barriers—in-person registration, document requirements, paperwork, long wait times, distant clinic, and limited income with only part-time flexible hours—create substantial logistical friction that lowers willingness to follow through.",0,0,0,1,0
Claude Opus 4.8,P05,3,"While she has medium trust in public health authorities, the registration process presents significant barriers given her circumstances: in-person registration with documentation requirements, long wait times, and an advance scheduling requirement are difficult for a part-time working mother of a young child with limited income and a distant clinic. The cumulative friction of these logistical hurdles likely outweighs her moderate baseline willingness.",0,0,1,1,1
Claude Opus 4.8,P05,4,"While she has medium trust in health authorities, the registration process presents significant barriers: in-person registration, document requirements, lengthy paperwork, 1-2 hour wait times, and advance scheduling are especially burdensome for a part-time working single parent with a young child, limited income, and a clinic that is already far from home. These logistical and time costs substantially reduce her likelihood of following through.",0,0,0,1,1
Claude Opus 4.8,P05,5,"Medium trust and a regular doctor provide some baseline willingness, but the burdensome in-person registration, document requirements, long wait times, and a distant clinic create significant friction for a part-time working mother with a young child and limited resources. These logistical barriers likely outweigh her moderate motivation.",0,0,0,1,0
Claude Opus 4.8,P06,1,"While she has reliable healthcare access and moderate trust in authorities, the burdensome in-person registration with paperwork, document requirements, long wait times, and advance scheduling creates significant friction. As a part-time working mother of a young child with limited income, these logistical barriers substantially lower her willingness to follow through.",0,0,0,1,0
Claude Opus 4.8,P06,2,"Her medium trust in public health and access to a regular doctor provide some baseline willingness, but the burdensome in-person registration, documentation requirements, long wait times, and need to schedule a week ahead pose significant barriers for a part-time working mother with limited income and a young child.",0,0,1,1,0
Claude Opus 4.8,P06,3,"Medium trust and access to a regular doctor provide some baseline willingness, but the burdensome in-person registration, document requirements, long wait times, and need for advance scheduling create significant friction for a part-time working mother with a young child and limited income. These logistical barriers likely deplete her motivation despite no strong vaccine hesitancy.",0,0,0,1,0
Claude Opus 4.8,P06,4,"Medium trust and easy regular healthcare access provide some baseline motivation, but the burdensome in-person registration, document requirements, long wait times, and childcare challenges with a 3-year-old create significant friction. Her part-time work and low income make the time costs and bureaucratic hurdles likely to deter follow-through.",0,0,0,1,0
Claude Opus 4.8,P06,5,"Her medium trust and access to a regular doctor provide some baseline willingness, but the burdensome registration process—in-person paperwork, income verification, 1-2 hour wait, and advance scheduling—poses significant barriers for a low-income part-time worker with a young child. These logistical hurdles likely reduce follow-through despite no strong ideological opposition.",0,0,0,0,0
Claude Opus 4.8,P07,1,"Her medium trust provides some baseline motivation, but the high-friction registration process—in-person visit, document requirements, paperwork, long wait times, and advance scheduling—creates significant barriers, especially for a self-employed single parent with a young child and no regular healthcare provider. These logistical hurdles substantially reduce her likelihood of following through.",0,0,0,1,0
Claude Opus 4.8,P07,2,"While she controls her own schedule, the bureaucratic burden—in-person registration, document requirements, paper forms, 1-2 hour wait, and a 3-year-old to care for—creates significant friction. Her medium trust in public health and lack of a regular provider further reduce motivation to navigate these obstacles.",0,0,1,0,0
Claude Opus 4.8,P07,3,"While her self-employment gives her schedule flexibility, the bureaucratic burden—in-person registration, document requirements, paperwork, 1-2 hour wait, and advance scheduling—creates significant friction, especially with a young child and no existing healthcare relationship. Her medium trust and low income may make the income verification step feel intrusive, further reducing follow-through.",0,0,0,1,0
Claude Opus 4.8,P07,4,"Her medium trust and self-employment flexibility provide some baseline willingness, but the high-friction registration process—in-person visit, document requirements, paper forms, 1-2 hour wait, and advance scheduling—creates significant barriers, especially for a low-income single parent with a young child and no established healthcare provider.",0,0,0,1,0
Claude Opus 4.8,P07,5,"Her medium trust and self-employed flexible schedule are mild positives, but the bureaucratic burden—in-person registration, income and residency documentation, paper forms, 1-2 hour wait, and a week's advance scheduling—creates substantial friction. With a young child, no regular doctor, and a low income that makes time costs significant, these barriers likely outweigh her moderate baseline interest.",0,0,0,1,0
Claude Opus 4.8,P08,1,"Her medium trust and self-employed flexible schedule offer some willingness, but the burdensome in-person registration, document requirements, long wait times, distant clinic, and need to arrange childcare for a 3-year-old create significant friction that lowers follow-through, especially given her low income limiting time and resources.",0,0,0,1,0
Claude Opus 4.8,P08,2,"Her medium trust and self-employed flexible schedule offer some willingness, but the bureaucratic burden—in-person registration, document requirements, paper forms, 1-2 hour wait, a distant clinic, and childcare needs for her 3-year-old—creates substantial logistical barriers that would likely deter her.",0,0,0,1,0
Claude Opus 4.8,P08,3,"Her medium trust and self-employed flexible schedule are modest positives, but the bureaucratic in-person registration, document requirements, 1-2 hour wait, distant clinic, and need to manage a young child create substantial barriers, especially given her limited income and time constraints.",0,0,0,1,0
Claude Opus 4.8,P08,4,"Medium trust provides some baseline motivation, but the in-person registration, document requirements, paperwork, long wait times, and distant clinic create significant barriers for a self-employed mother of a young child with limited income. These logistical hurdles—especially needing childcare and time away from income-generating work—substantially reduce her likelihood of following through.",0,0,0,1,0
Claude Opus 4.8,P08,5,"While her medium trust in public health authorities provides some baseline willingness, the burdensome registration process creates significant barriers: in-person registration at a distant center, documentation requirements, lengthy paper forms, 1-2 hour wait, and advance scheduling are especially difficult for a low-income self-employed mother of a young child who must manage childcare and lost work time.",0,0,1,1,0
Claude Opus 4.8,P09,1,"While she has flexible self-employment scheduling and good healthcare access, the burdensome in-person registration—document requirements, paper forms, 1-2 hour wait, and week advance scheduling—creates significant friction, especially with a young child to manage. Her medium trust provides moderate baseline motivation, but the administrative barriers likely deter follow-through.",0,0,0,0,0
Claude Opus 4.8,P09,2,"Her medium trust and easy access to a regular doctor are positives, but the burdensome in-person registration—income verification, paper forms, 1-2 hour wait, and one-week advance scheduling—creates significant friction for a self-employed mother of a young child with limited resources, lowering her willingness.",0,0,0,1,0
Claude Opus 4.8,P09,3,"Her medium trust and access to a regular doctor are positives, but the burdensome registration process—in-person paperwork, documentation requirements, 1-2 hour wait, and a week's advance scheduling—creates significant friction. As a self-employed mother with a young child and low income, the time and bureaucratic costs likely outweigh her moderate motivation to vaccinate through this channel.",0,0,0,1,0
Claude Opus 4.8,P09,4,"Her medium trust and self-employed flexible schedule are mild positives, but the high-friction process—in-person registration, income/residency documentation, paper forms, 1-2 hour wait, and a week's advance scheduling—creates significant barriers, especially for a low-income single parent of a young child. These logistical and administrative hurdles likely dampen her willingness to follow through.",0,0,0,1,0
Claude Opus 4.8,P09,5,"While she has flexible self-employment and a regular doctor, the bureaucratic in-person registration with income/residency verification, paperwork, and 1-2 hour waits creates significant friction, especially with a young child to care for. Her medium trust in authorities and low income (limiting margin for time spent away from work) further reduce willingness to navigate these barriers.",0,0,0,1,0
Claude Opus 4.8,P10,1,"The administrative burden is high relative to her constraints: she works full-time with little time off, has a young child, and faces in-person registration, document requirements, paper forms, and a 1-2 hour wait. With only medium trust and no regular healthcare relationship, these logistical barriers likely outweigh her motivation, though her medium trust keeps it from being near zero.",0,0,0,1,0
Claude Opus 4.8,P10,2,"The in-person registration, documentation requirements, 1-2 hour wait, and advance scheduling create significant barriers for someone with a full-time inflexible job, a young child, and no regular healthcare connection. Her medium trust and lack of an established clinic relationship make these logistical hurdles likely to deter her, though some motivation may remain to protect herself and her child.",0,0,0,1,0
Claude Opus 4.8,P10,3,"The in-person registration requiring documentation, paper forms, a 1-2 hour wait, and advance scheduling poses serious logistical barriers for a full-time worker who can't easily take time off and has a young child and no regular clinic. Her medium trust provides some baseline motivation, but the high friction of this process likely outweighs it.",0,0,0,1,0
Claude Opus 4.8,P10,4,"The in-person registration with income verification, paperwork, 1-2 hour wait, and advance scheduling poses significant barriers for someone working full-time with limited time off and a young child. Her medium trust and lack of a regular provider further reduce motivation to navigate this burdensome process.",0,0,0,0,0
Claude Opus 4.8,P10,5,"The in-person registration with income verification, paperwork, a 1-2 hour wait, and advance scheduling creates significant barriers for someone who works full-time without easy time off and has a young child. Combined with no regular healthcare provider and only medium trust in public health authorities, these logistical hurdles substantially lower her willingness despite no outright opposition to vaccination.",0,0,1,1,0
Claude Opus 4.8,P11,1,"The in-person registration with documentation requirements, lengthy paper forms, 1-2 hour wait, and advance scheduling pose significant barriers for a full-time worker with limited time off and a young child. Her medium trust provides some motivation, but the administrative and logistical burdens substantially reduce her likelihood of following through.",0,0,0,0,0
Claude Opus 4.8,P11,2,"The in-person registration with documentation requirements, lengthy paperwork, 1-2 hour wait, and advance scheduling pose significant barriers for a full-time worker with limited time off and young child. Her medium trust provides some baseline motivation, but the high logistical burden substantially reduces her likelihood of following through.",0,0,0,0,0
Claude Opus 4.8,P11,3,"The in-person registration with documentation requirements, 1-2 hour wait, and advance scheduling create significant barriers for someone with an inflexible full-time job, a young child, and a distant clinic. Her medium trust provides some baseline motivation, but the cumulative logistical hurdles likely outweigh her willingness to navigate them.",0,0,0,0,0
Claude Opus 4.8,P11,4,"The in-person registration with documentation requirements, long wait times, and advance scheduling create significant barriers for a full-time worker with limited time off and a young child. Her medium trust in public health authorities is not strong enough to overcome these logistical hurdles, especially given the distance to care she already experiences.",0,0,1,0,0
Claude Opus 4.8,P11,5,"While she has medium trust in health authorities and a young child to protect, the registration process presents significant barriers: in-person registration with documentation, lengthy paperwork, 1-2 hour wait, and advance scheduling all conflict with her inflexible full-time job and caregiving responsibilities. The distant clinic and time-intensive bureaucracy make compliance impractical despite some baseline willingness.",0,0,0,0,1
Claude Opus 4.8,P12,1,"While she has medium trust in public health and access to regular care, the registration scenario presents significant barriers: in-person registration with documentation requirements, paper forms, 1-2 hour waits, and advance scheduling are especially difficult for someone with a demanding full-time job that doesn't allow easy time off and a young child to care for. These logistical hurdles substantially reduce her likelihood of following through despite no strong ideological opposition.",0,0,1,0,1
Claude Opus 4.8,P12,2,"Her medium trust suggests baseline openness, but the bureaucratic barriers—in-person registration, document requirements, paper forms, 1-2 hour wait, and a job that doesn't allow time off easily plus childcare for a 3-year-old—create substantial friction that likely deters follow-through.",0,0,0,1,0
Claude Opus 4.8,P12,3,"While she has medium trust in public health and access to a regular doctor, the burdensome in-person registration process—requiring documentation, paper forms, a 1-2 hour wait, and advance scheduling—poses significant barriers given her inflexible full-time job and childcare responsibilities. The high logistical cost relative to her moderate motivation makes her unlikely to complete the process.",0,0,1,1,0
Claude Opus 4.8,P12,4,"While she has medium trust in public health and a regular doctor, the in-person registration with documentation requirements, lengthy paperwork, 1-2 hour wait, and advance scheduling pose significant barriers for someone working full-time with little time-off flexibility and a young child. These logistical hurdles substantially reduce her likelihood of following through despite no strong vaccine opposition.",0,0,1,0,0
Claude Opus 4.8,P12,5,"While she has medium trust in health authorities and access to healthcare, the burdensome in-person registration process—requiring documentation, paper forms, a 1-2 hour wait, and advance scheduling—poses significant barriers given her inflexible full-time job and childcare responsibilities. These logistical hurdles substantially lower her likelihood of following through.",0,0,0,1,0
Claude Opus 4.8,P13,1,"Her medium trust and parental motivation provide some baseline willingness, but the burdensome in-person registration, documentation requirements, long wait times, and lack of a regular healthcare provider create significant friction for someone with a young child and limited flexible time, likely deterring follow-through.",0,0,0,0,0
Claude Opus 4.8,P13,2,"While she has medium trust in public health and may want protection for herself and her child, the burdensome in-person registration with documentation requirements, long wait times, paperwork, and advance scheduling pose significant barriers for a part-time working single parent without a regular healthcare provider. These logistical hurdles substantially reduce her likelihood of following through.",0,0,1,1,0
Claude Opus 4.8,P13,3,"Her medium trust and parental concerns provide some motivation, but the burdensome in-person registration, documentation requirements, long wait times, and scheduling delays create significant barriers, especially given her part-time work, childcare responsibilities, and lack of a regular healthcare provider to guide her through the process.",0,0,0,1,0
Claude Opus 4.8,P13,4,"Her medium trust and lack of a regular provider make her somewhat ambivalent, and the burdensome in-person registration—requiring documentation, paperwork, long wait times, and advance scheduling—creates significant friction for a part-time working mother of a young child. These logistical barriers likely outweigh her moderate baseline motivation.",0,0,0,1,0
Claude Opus 4.8,P13,5,"Her medium trust and parental considerations provide some motivation, but the burdensome in-person registration, documentation requirements, long wait times, and lack of a regular healthcare provider create significant friction. With only part-time flexible work and a young child to care for, these logistical barriers substantially reduce her likelihood of following through.",0,0,0,0,0
Claude Opus 4.8,P14,1,"While she has medium trust in health authorities and a regular doctor, the burdensome in-person registration, document requirements, long wait times, and distance create significant barriers—especially given her part-time work and young child requiring childcare considerations.",0,0,0,1,0
Claude Opus 4.8,P14,2,"While she has medium trust and a regular doctor, the bureaucratic in-person registration with documentation requirements, 1-2 hour wait, and advance scheduling create significant barriers for a part-time working mother with a young child and a clinic far from home. These logistical burdens likely reduce her willingness despite no strong ideological opposition.",0,0,0,1,0
Claude Opus 4.8,P14,3,"Her medium trust and having a regular doctor provide some baseline willingness, but the burdensome in-person registration—requiring documentation, paper forms, long wait times, and a week's advance scheduling—creates significant friction. With part-time work, a young child, and a distant clinic, these logistical barriers substantially reduce her likelihood of following through.",0,0,0,0,0
Claude Opus 4.8,P14,4,"While she has medium trust in public health authorities and a regular doctor, the heavy administrative burden—in-person registration, documentation requirements, paper forms, 1-2 hour wait, and a far clinic—poses significant barriers for a part-time working mother of a young child. These logistical hurdles likely outweigh her moderate baseline willingness.",0,0,1,1,0
Claude Opus 4.8,P14,5,"While she has medium trust in public health and a regular doctor, the significant logistical barriers—in-person registration, document requirements, paper forms, a 1-2 hour wait, and advance scheduling—are substantial obstacles for a part-time working mother of a young child whose clinic is already far away. These friction points likely reduce her willingness to follow through despite no strong ideological opposition.",0,0,1,1,0
Claude Opus 4.8,P15,1,"Her medium trust and easy healthcare access provide some baseline motivation, but the burdensome in-person registration, document requirements, paperwork, and 1-2 hour wait are significant deterrents—especially given her part-time work and young child to care for. These logistical barriers likely outweigh her moderate inclination, leaving her ambivalent and somewhat below the midpoint.",0,0,0,0,0
Claude Opus 4.8,P15,2,"Her medium trust and access to a regular doctor provide some baseline willingness, but the burdensome in-person registration with documentation requirements, long wait times, and a one-week delay create significant friction—especially for a part-time working mother with a young child who has limited time and flexibility.",0,0,0,1,0
Claude Opus 4.8,P15,3,"With only medium trust and significant administrative burdens—in-person registration, document requirements, paper forms, long wait times, and advance scheduling—this part-time working mother of a young child faces meaningful barriers. The friction of childcare logistics and time costs likely outweighs her moderate baseline motivation, lowering her willingness below the midpoint.",0,0,0,1,0
Claude Opus 4.8,P15,4,"Her medium trust and easy access to a regular doctor provide some baseline willingness, but the burdensome in-person registration, paperwork, document requirements, and 1-2 hour wait are significant barriers, especially for a part-time working mother of a young child with limited flexibility.",0,0,0,1,0
Claude Opus 4.8,P15,5,"While she has good healthcare access and medium trust, the burdensome in-person registration—requiring documentation, paper forms, 1-2 hour waits, and advance scheduling—poses significant barriers for a part-time working mother of a young child. These logistical hurdles likely outweigh her moderate baseline motivation.",0,0,0,1,0
Claude Opus 4.8,P16,1,"While she has flexible self-employment to accommodate the process, the burdensome registration—in-person visit, document requirements, paper forms, and 1-2 hour wait—combined with no regular doctor and only medium trust creates significant friction. Having a young child and managing her own business makes the time costs and bureaucratic hurdles likely to deter follow-through despite no strong opposition.",0,0,0,1,0
Claude Opus 4.8,P16,2,"Her medium trust suggests baseline openness, but the heavy administrative burden—in-person registration, document requirements, paperwork, 1-2 hour wait, and a young child to care for—creates significant friction. Without a regular doctor and as a self-employed parent, these logistical barriers substantially reduce her likelihood of following through despite scheduling flexibility.",0,0,0,0,0
Claude Opus 4.8,P16,3,"While she controls her own schedule, the in-person registration with documentation requirements, paperwork, long wait times, and advance scheduling create significant friction, especially as a self-employed parent of a young child without an established healthcare provider. Her medium trust in public health authorities is not strong enough to overcome these administrative barriers, lowering her willingness.",0,0,1,0,0
Claude Opus 4.8,P16,4,"Her medium trust and self-employed flexible schedule provide some openness, but the burdensome registration process—in-person paperwork, income/residency verification, 1-2 hour wait, and a week's advance scheduling—creates significant friction. With no regular healthcare provider and a young child to manage, these logistical barriers likely substantially reduce her willingness to follow through.",0,0,0,1,0
Claude Opus 4.8,P16,5,"Her medium trust and self-employed flexibility offer some motivation, but the burdensome in-person registration, documentation requirements, 1-2 hour wait, and lack of a regular healthcare connection create significant friction. With a young child and no usual care provider, these administrative barriers likely reduce her follow-through despite no strong opposition to vaccination.",0,0,0,0,0
Claude Opus 4.8,P17,1,"While she is self-employed with schedule flexibility, the burdensome registration process—in-person visit, document requirements, paperwork, long wait times, and distant clinic—creates significant friction, especially with a young child to care for. Her medium trust in public health authorities does not provide strong enough motivation to overcome these logistical barriers.",0,0,1,0,0
Claude Opus 4.8,P17,2,"While she has flexible self-employed scheduling, the in-person registration with income/residency documentation, paperwork, 1-2 hour wait, and a distant clinic create significant friction, especially with a young child to manage. Her medium trust in public health authorities offers no strong motivation to overcome these substantial logistical barriers.",0,0,1,0,0
Claude Opus 4.8,P17,3,"While she controls her own schedule and has a regular doctor, the burdensome in-person registration—requiring income verification, proof of residency, paper forms, a 1-2 hour wait, and a week's advance scheduling—creates significant friction. With only medium trust, a young child to care for, and a distant clinic, these logistical barriers likely outweigh her moderate motivation.",0,0,0,0,0
Claude Opus 4.8,P17,4,"Although she controls her own schedule, the in-person registration with documentation requirements, lengthy paper forms, 1-2 hour wait, and a far clinic create significant friction, especially with a young child to care for. Her medium trust in authorities provides some baseline motivation but isn't strong enough to overcome the burdensome logistics.",0,0,0,0,0
Claude Opus 4.8,P17,5,"While she has medium trust in public health and self-employment offers schedule flexibility, the high friction of this scenario—in-person registration with document requirements, paperwork, a 1-2 hour wait, and a young child to manage—creates significant barriers, especially given her distant clinic and modest income that makes time away from work costly.",0,0,1,0,0
Claude Opus 4.8,P18,1,"Her medium trust and stable healthcare access provide some baseline willingness, but the burdensome in-person registration, document requirements, paperwork, and 1-2 hour wait create significant friction, especially given she has a young child and a self-managed schedule. These administrative barriers likely reduce her follow-through below the midpoint.",0,0,0,0,0
Claude Opus 4.8,P18,2,"Her medium trust and having a regular doctor provide some baseline motivation, but the burdensome in-person registration, document requirements, paperwork, and 1-2 hour wait create significant friction, especially given she has a young child and self-manages a business schedule. These logistical barriers likely reduce her willingness to a roughly ambivalent level.",0,0,0,0,0
Claude Opus 4.8,P18,3,"Her medium trust and easy access to a regular doctor are positives, but the burdensome in-person registration—requiring income/residency documentation, paper forms, a 1-2 hour wait, and a week-long delay—creates significant friction, especially for a self-employed parent of a young child balancing work and childcare.",0,0,0,1,0
Claude Opus 4.8,P18,4,"Although she is self-employed with a flexible schedule and easy access to healthcare, the bureaucratic burden—in-person registration, income/residency documentation, paper forms, and 1-2 hour waits—creates significant friction, especially with a young child to care for. Her medium trust in public health authorities provides some motivation but not enough to fully overcome the inconvenience, leaving her ambivalent.",0,0,1,0,0
Claude Opus 4.8,P18,5,"While self-employment gives her schedule flexibility and she has good healthcare access, the burdensome in-person registration, document requirements, 1-2 hour wait, and advance scheduling create significant friction. Her medium trust in authorities and responsibilities as a parent of a young child make these administrative hurdles likely to deter her from completing the process.",0,0,0,0,0
Claude Opus 4.8,P19,1,"The in-person registration with documentation requirements, 1-2 hour wait, and paperwork creates significant friction for someone working full-time with limited flexibility and a young child. Her medium trust and lack of a regular provider provide little motivation to overcome these substantial logistical barriers.",0,0,0,1,0
Claude Opus 4.8,P19,2,"Her medium trust suggests some baseline openness, but the scenario presents heavy logistical barriers—in-person registration, document requirements, 1-2 hour waits, and advance scheduling—that conflict sharply with her inflexible full-time job and childcare responsibilities. Lacking a regular doctor further reduces convenience and prompting, lowering her likelihood of following through.",0,0,0,1,1
Claude Opus 4.8,P19,3,"While her medium trust and income suggest some baseline openness, the significant logistical barriers—in-person registration, document requirements, 1-2 hour wait, and advance scheduling—conflict heavily with her inflexible full-time job, childcare responsibilities, and lack of an established healthcare relationship. These friction points substantially lower her likelihood of following through.",0,0,0,1,0
Claude Opus 4.8,P19,4,"Medium trust provides some baseline motivation, but the in-person registration, document requirements, paperwork, and 1-2 hour wait pose significant barriers for someone with a demanding full-time job that limits time off and a young child to care for. The lack of a regular doctor and the multi-step, advance-scheduling process further reduce the likelihood she follows through.",0,0,0,0,0
Claude Opus 4.8,P19,5,"Her medium trust and full income suggest baseline openness, but significant logistical barriers—in-person registration, document requirements, 1-2 hour wait, and a job with no flexible time off plus childcare for a 3-year-old—heavily reduce her likelihood of following through. Lacking a regular doctor further removes a source of encouragement to navigate the cumbersome process.",0,0,0,1,0
Claude Opus 4.8,P20,1,"Her full-time job with limited time off, a young child, and a distant clinic make the in-person registration, document requirements, and 1-2 hour wait significant barriers. With only medium trust in public health authorities, these logistical burdens likely outweigh her motivation to proceed.",0,0,1,0,0
Claude Opus 4.8,P20,2,"While she has resources and medium trust in public health, the registration process is heavily burdensome: in-person paperwork, document requirements, 1-2 hour waits, and advance scheduling all conflict with her inflexible full-time job and childcare responsibilities. These logistical barriers significantly reduce her likelihood of following through despite no strong ideological opposition.",0,0,1,1,0
Claude Opus 4.8,P20,3,"Her job's inflexibility, distant clinic, young child, and the burdensome in-person registration with documentation and long wait times create significant logistical barriers. Combined with only medium trust in public health authorities, these obstacles substantially reduce her likelihood of following through.",0,0,1,0,0
Claude Opus 4.8,P20,4,"While her income and access suggest some capacity, the in-person registration with documentation requirements, 1-2 hour wait, and inflexible work schedule create significant logistical barriers. With medium trust and a young child to care for, these friction points likely outweigh her moderate motivation to proceed.",0,0,0,0,0
Claude Opus 4.8,P20,5,"While she has the financial means and a medium level of trust, the registration process presents significant logistical barriers: in-person registration, document requirements, paperwork, a 1-2 hour wait, and advance scheduling all conflict with her inflexible full-time job and childcare responsibilities. The clinic distance and time costs make follow-through unlikely without strong motivation.",0,0,0,1,1
